"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Pooled CCW","RD",10,-1,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0948511059220371,-0.0956199860100375,0.0130845727059432,0.000768880088000432,0.0131277663292482,0.97,100
"Pooled CCW","RD",15,-1,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0809656956080815,-0.0807667930139156,0.0117491068448237,-0.000198902594165817,0.011806604443872,0.96,100
"Pooled CCW","RD",5,-0.7,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0795418000410282,-0.0820594317236955,0.0195532665082069,0.00251763168266728,0.0194881927955302,0.96,100
"Pooled CCW","RD",10,-0.7,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0659684467060728,-0.0654681174763394,0.0144211049050704,-0.000500329229733424,0.0144850301459197,0.96,100
"Pooled CCW","RD",15,-0.7,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0548140658638691,-0.0564066207868443,0.0128801285272053,0.00159255492297519,0.0128456839308442,0.94,100
"Pooled CCW","RD",5,-0.5,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0540737727159274,-0.0588257092473403,0.0184714915671954,0.00475193653141297,0.0179397166717036,0.96,100
"Pooled CCW","RD",10,-0.5,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0454716878940715,-0.0464827674473978,0.0136796350521014,0.00101107955332623,0.0137109457599338,0.96,100
"Pooled CCW","RD",15,-0.5,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0390478343686248,-0.0399201154772763,0.0125342930757089,0.000872281108651428,0.012566896894252,0.94,100
"Pooled CCW","RD",5,-1,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.117853493103437,-0.125685136000928,0.041460976151716,0.00783164289749076,0.0409197034974909,0.87,100
"Pooled CCW","RD",10,-1,"strong",1.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0978147088967017,-0.100473676816018,0.0427268346824327,0.00265896791931587,0.042858850924985,0.86,100
