"numerator","site","arm","interval","risk_n","weight_sum","ess","ess_fraction","w_median","w_q95","w_q99","w_max"
"common",3,1,16,12,36.4186252648383,3.05150245719696,0.25429187143308,1.60117963188242,10.682207248285,18.2237860157631,20.1091807076326
"common",3,1,17,12,36.4186252648383,3.05150245719696,0.25429187143308,1.60117963188242,10.682207248285,18.2237860157631,20.1091807076326
"common",3,1,18,11,34.8584207303843,2.81139042856508,0.255580948051371,1.64215472931077,11.5392048354984,18.3951855332057,20.1091807076326
"common",3,1,19,10,34.0625996983934,2.68842658764615,0.268842658764615,1.80373491446364,12.3962024227118,18.5665850506484,20.1091807076326
"common",3,0,19,29,20.7492124419012,28.4093522802054,0.979632837248463,0.685601778884736,0.887930258903729,1.09628807105054,1.15180941372195
"common",3,1,20,9,31.9661163716577,2.39203734247937,0.265781926942153,1.64215472931077,13.2532000099252,18.7379845680911,20.1091807076326
"common",3,0,20,25,17.8168399934578,24.4195274913456,0.976781099653824,0.685276580259001,0.920724581542466,1.10421969143217,1.15180941372195
"common",3,1,21,8,30.7699906760006,2.22382145059677,0.277977681324596,1.80373491446364,14.1101975971386,18.9093840855338,20.1091807076326
"common",3,0,21,23,16.439296713439,22.4263431048341,0.975058395862354,0.685276580259001,0.937121742861835,1.10818550162298,1.15180941372195
"common",3,1,22,7,29.1278359466898,2.00549306959507,0.286499009942153,1.96531509961651,14.967195184352,19.0807836029765,20.1091807076326
"common",3,0,22,22,15.75402013318,21.430759978731,0.974125453578683,0.684350803089314,0.94532032352152,1.11016840671839,1.15180941372195
"common",3,1,23,7,29.1278359466898,2.00549306959507,0.286499009942153,1.96531509961651,14.967195184352,19.0807836029765,20.1091807076326
"common",3,0,23,18,12.8172135182741,17.4444920841951,0.969138449121952,0.667432237564009,0.983262480612316,1.11810002710002,1.15180941372195
"common",3,1,24,7,29.1278359466898,2.00549306959507,0.286499009942153,1.96531509961651,14.967195184352,19.0807836029765,20.1091807076326
"common",3,0,24,18,12.8172135182741,17.4444920841951,0.969138449121952,0.667432237564009,0.983262480612316,1.11810002710002,1.15180941372195
"common",3,1,25,7,29.1278359466898,2.00549306959507,0.286499009942153,1.96531509961651,14.967195184352,19.0807836029765,20.1091807076326
"common",3,0,25,16,10.9963037797916,15.8208543555913,0.988803397224459,0.66533692627014,0.774647045540574,0.917744532453078,0.953518904181204
