"numerator","site","arm","interval","risk_n","weight_sum","ess","ess_fraction","w_median","w_q95","w_q99","w_max"
"local",3,1,23,7,55.8390068094694,1.9477059812737,0.278243711610528,3.0943259015239,29.162885462293,37.1780216594063,39.1818057086846
"local",3,0,23,18,5.93603575673948,17.4444920841951,0.969138449121952,0.309107874479263,0.455378326564773,0.517825635893035,0.5334374632251
"local",3,1,24,7,55.8390068094694,1.9477059812737,0.278243711610528,3.0943259015239,29.162885462293,37.1780216594063,39.1818057086846
"local",3,0,24,18,5.93603575673948,17.4444920841951,0.969138449121952,0.309107874479263,0.455378326564773,0.517825635893035,0.5334374632251
"local",3,1,25,7,55.8390068094694,1.9477059812737,0.278243711610528,3.0943259015239,29.162885462293,37.1780216594063,39.1818057086846
"local",3,0,25,16,5.09271787785603,15.8208543555913,0.988803397224458,0.308137473015312,0.358762265653558,0.42503500097166,0.441603184801186
"common",1,1,1,1000,976.222262840954,545.314627096922,0.545314627096922,0.892300647383852,0.957910715422324,2.43154686046306,24.3823932984328
"common",1,0,1,977,880.026153107454,975.98690998892,0.998963060377605,0.891817006729855,0.946609477518254,1.00342980907926,1.31679144251897
"common",1,1,2,955,911.547171472145,421.597545777711,0.441463398720116,0.803757585295478,0.982311136671614,6.61342901564525,24.3823932984328
"common",1,0,2,913,745.918801678046,910.43828492192,0.99719417844679,0.802581720755029,0.898539263442397,0.982614783163996,1.14436365099642
"common",1,1,3,930,868.478542192317,302.893028904743,0.325691428929831,0.736174960439764,1.07287038279342,6.79106903508191,24.3823932984328
"common",1,0,3,878,659.509526710669,873.931871878564,0.995366596672625,0.73399138558191,0.835941520960893,0.976810739059099,1.22544889385678
"common",1,1,4,902,843.663037612379,246.78171852138,0.273593922972705,0.689453238697363,1.29046190045926,7.43735608989793,24.3823932984328
"common",1,0,4,843,594.571517330331,837.8091044932,0.993842354084461,0.687024202834624,0.79606163107835,0.931726501650526,1.29428187160367
"common",1,1,5,62,298.925972754686,27.9884275859136,0.451426251385703,2.77508632922362,16.3520856765581,24.0505971338795,24.3823932984328
"common",1,0,5,813,543.160493429207,807.892043800579,0.993717151046223,0.650752441698557,0.754250723359456,0.882486621174031,1.14262299415946
"common",1,1,6,61,291.244190046157,27.0687352778372,0.443749758653069,2.76923515603837,16.387000814625,24.0560364152656,24.3823932984328
"common",1,0,6,789,526.524731090427,784.033728549491,0.99370561286374,0.649678801328436,0.751939810112157,0.885070373094667,1.14262299415946
"common",1,1,7,60,287.91487266082,26.547311619129,0.442455193652149,2.64116892656728,16.5245445778006,24.0614756966517,24.3823932984328
"common",1,0,7,775,516.404853117219,770.57549695367,0.994290963811187,0.649232144773317,0.749414705572311,0.87281637412127,1.12238519045172
"common",1,1,8,58,279.181911069492,25.5137339519707,0.439891964689149,2.64116892656728,16.7996321041517,24.072354259424,24.3823932984328
"common",1,0,8,754,501.41218259901,750.025173916349,0.994728347369163,0.648876242522532,0.739042623418655,0.866873459776517,1.12238519045172
"common",1,1,9,56,276.748886941297,25.0960964668101,0.448144579764465,2.77508632922362,17.0747196305028,24.0832328221962,24.3823932984328
"common",1,0,9,742,492.89943622659,738.415582275488,0.995169248349714,0.648746186125894,0.735845828353713,0.861943307478281,1.12238519045172
"common",1,1,10,53,271.707991769292,24.2635188894662,0.457802243197476,2.82258064724313,17.4873509200295,24.0995506663546,24.3823932984328
"common",1,0,10,728,483.005745122429,724.593152768898,0.995320264792443,0.648543514546986,0.73371436814146,0.861990753207922,1.12238519045172
"common",1,1,11,52,271.148528164836,24.1661875783356,0.464734376506454,2.8274442031179,17.624894683205,24.1049899477407,24.3823932984328
"common",1,0,11,711,471.66611769591,707.640188375709,0.995274526548114,0.648354594390114,0.733564025984582,0.864011079347982,1.12238519045172
"common",1,1,12,51,268.379293008798,23.7349180608262,0.465390550212279,2.83230775899266,17.7624384463806,24.1104292291268,24.3823932984328
"common",1,0,12,694,460.124158135665,690.710429732005,0.995259985204618,0.648112441178992,0.733001791854503,0.865448818680924,1.12238519045172
"common",1,1,13,51,268.379293008798,23.7349180608262,0.465390550212279,2.83230775899266,17.7624384463806,24.1104292291268,24.3823932984328
"common",1,0,13,680,449.786384759755,677.385497173332,0.996155142901959,0.647867019843128,0.730359627216403,0.846479745496029,1.02202582193009
"common",1,1,14,49,265.88677468573,23.3201258090941,0.475920934879471,2.91847417155656,18.0375259727317,24.1213077918991,24.3823932984328
"common",1,0,14,665,439.738158059796,662.448832660481,0.996163658136062,0.647842913334072,0.730216253754576,0.847777623264581,1.02202582193009
"common",1,1,15,49,265.88677468573,23.3201258090941,0.475920934879471,2.91847417155656,18.0375259727317,24.1213077918991,24.3823932984328
"common",1,0,15,653,431.11807559351,650.655137890821,0.996409093247812,0.647502043795356,0.725595094365455,0.844558817088707,1.02202582193009
"common",1,1,16,47,261.916322737038,22.6973492826017,0.482922325161739,3.06156647110787,18.3126134990828,24.1321863546713,24.3823932984328
"common",1,0,16,640,422.474035845596,637.667942356464,0.996356159931975,0.647042835739852,0.726035284173362,0.844584791971544,1.02202582193009
"common",1,1,17,46,257.27887587271,22.0576660574365,0.479514479509489,2.99002032133221,18.4501572622584,24.1376256360574,24.3823932984328
"common",1,0,17,629,414.838573440645,626.716526037219,0.996369675734847,0.646785294886549,0.725722666596185,0.84460677071856,1.02202582193009
"common",1,1,18,45,255.747262651142,21.8128751962675,0.484730559917056,3.06156647110787,18.5877010254339,24.1430649174435,24.3823932984328
"common",1,0,18,620,408.766932597323,617.743756440224,0.996360897484232,0.646666609911403,0.725371842961677,0.844624753329755,1.02202582193009
"common",1,1,19,42,245.30080107219,20.4285477611971,0.486393994314217,3.19532229408721,19.0003323149606,24.1593827616019,24.3823932984328
"common",1,0,19,610,402.197650049791,607.76376231976,0.996334036589771,0.646666609911403,0.724657754265751,0.84464473400886,1.02202582193009
"common",1,1,20,41,231.018227425806,19.467108350103,0.474807520734219,3.06156647110787,19.1378760781362,24.164822042988,24.3823932984328
"common",1,0,20,602,396.900088764662,599.774289077668,0.996302805776858,0.646604057524675,0.725264150388634,0.844660718552145,1.02202582193009
"common",1,1,21,40,207.179762265985,19.7508560252255,0.493771400630637,2.99002032133221,16.5245445778006,22.3370315825171,24.3823932984328
"common",1,0,21,587,386.767085904199,584.810839368819,0.996270595176864,0.646038518251372,0.724885152811833,0.845874069204038,1.02202582193009
"common",1,1,22,40,207.179762265985,19.7508560252255,0.493771400630637,2.99002032133221,16.5245445778006,22.3370315825171,24.3823932984328
"common",1,0,22,581,382.790711567363,578.822654786976,0.996252417877756,0.646038518251372,0.725339949903995,0.846393220311459,1.02202582193009
"common",1,1,23,39,201.827729856041,18.9939446536994,0.487024221889728,2.91847417155656,16.6620883409762,22.3894767547201,24.3823932984328
"common",1,0,23,568,374.080931807313,565.838910442361,0.996195264863312,0.645900832194909,0.725754559653868,0.847518047710871,1.02202582193009
