"numerator","site","interval","n_treatment_risk","observed_initiations","pred_min","pred_q01","pred_q50","pred_q99","pred_max","prop_extreme"
"local",1,17,822,9,7.55777530940208e-05,0.000186125716205531,0.00497661797406979,0.083961532922251,0.192306722989257,0.695863746958638
"local",1,18,813,5,2.92688449253135e-05,9.85453426227957e-05,0.00260071606935334,0.0479230632272743,0.150639179215556,0.833948339483395
"local",1,19,808,8,9.71842135185516e-05,0.000184469305748266,0.0044779569015703,0.0970712516133976,0.34259466911302,0.73019801980198
"local",1,20,800,6,4.15169774944121e-05,0.000132420394194565,0.00355780179073534,0.0506357278099744,0.185251381376292,0.79875
"local",1,21,794,11,0.000129430075829993,0.000282129257095039,0.0065957080362139,0.110471664387831,0.400771485763685,0.643576826196474
"local",1,22,783,6,5.7464781857918e-05,0.000131243339102821,0.00359246492512421,0.061616310024321,0.229493837238361,0.791826309067688
"local",1,23,777,7,5.16627984154735e-05,0.000160127746355089,0.00449422247000188,0.0702160812568687,0.131242573022724,0.736164736164736
"local",1,24,770,12,5.43400949466837e-05,0.000307549079318219,0.00715073056359348,0.106785416610812,0.233928896122734,0.584415584415584
"local",1,25,758,4,5.70907512614686e-05,7.78755187137331e-05,0.00262350506171873,0.0432587713972501,0.105713970916915,0.864116094986807
"local",2,1,1000,75,0.00202856903678192,0.00254378222124199,0.040866957638415,0.439760847926983,0.592994112609149,0.123
"local",2,2,925,82,0.000341941250123331,0.00210245334086416,0.0449683084605522,0.569438626178233,0.758603249006483,0.123243243243243
"local",2,3,843,63,0.000446637206405307,0.00150214613093383,0.0387352347968129,0.490634686749544,0.801230832699034,0.162514827995255
"local",2,4,780,60,0.000321630846579658,0.00139678809983602,0.0391774991036435,0.450561956817661,0.601720092209746,0.153846153846154
"local",2,5,720,55,0.000734923227599817,0.00177277575996707,0.0337098029467746,0.535268331171844,0.719639656597433,0.173611111111111
"local",2,6,665,52,0.000794264196365143,0.00178421442081445,0.0399490282102291,0.512186338318014,0.785300589021641,0.157894736842105
"local",2,7,613,42,0.000817214294330725,0.00156093758530729,0.0343519701948688,0.441304370588715,0.809833044296955,0.179445350734095
"local",2,8,571,28,0.000492478305314124,0.000978848651185368,0.0264660501948229,0.321619420270553,0.437697156350345,0.257443082311734
"local",2,9,543,28,0.000208463906391685,0.00103012293890438,0.0277522507527643,0.35038464028305,0.647079016004244,0.228360957642726
"local",2,10,515,28,0.000542748105423016,0.0012293022673664,0.0295276094907613,0.322332500288163,0.446368881750572,0.201941747572816
"local",2,11,487,27,0.000762233116695059,0.00127398853204269,0.0331179194365883,0.27984118714052,0.603666825004666,0.193018480492813
"local",2,12,460,19,0.000470701285994769,0.00107031426734926,0.0235381213079902,0.255957613631725,0.506305465900941,0.26304347826087
"local",2,13,441,14,0.000108443649704085,0.000557371286947322,0.0156362755504021,0.19870912169359,0.393578392415338,0.340136054421769
"local",2,14,427,18,0.000216287871340755,0.0011107532422212,0.0215861276322834,0.284252782352189,0.45870287362559,0.252927400468384
"local",2,15,409,20,0.000319900480349445,0.00125597243226549,0.025048359921979,0.35873709651184,0.540212040990523,0.266503667481663
"local",2,16,389,18,0.000450374436028004,0.000906047492999072,0.0230457299725081,0.289499871240984,0.456495159719262,0.272493573264781
"local",2,17,371,13,0.000417661512963908,0.000796896741669567,0.0158057554708372,0.222018187164501,0.423925267085275,0.334231805929919
"local",2,18,358,16,0.00029826957057887,0.00112280572675006,0.0210820779190872,0.307496798152017,0.632972505820552,0.284916201117318
"local",2,19,342,12,0.000689809065313551,0.00104332764969354,0.0188127092463777,0.251883663514211,0.447401421826006,0.312865497076023
"local",2,20,330,12,0.000621273613003507,0.0010852335644704,0.0222764658394146,0.180771447877187,0.261135997582922,0.23030303030303
"local",2,21,318,10,0.000186548005993051,0.000749300147361636,0.0195885457739285,0.157491486185272,0.189837106698224,0.30188679245283
"local",2,22,308,8,0.000286127726420576,0.000832679162902274,0.0160642498338934,0.145548722947487,0.246094199614789,0.337662337662338
"local",2,23,300,10,0.000594356997821252,0.000935172006457524,0.0197911657510227,0.196157292758256,0.42904752508579,0.293333333333333
"local",2,24,290,7,0.000290966276201787,0.000843344027904327,0.0127319602992167,0.147767247604638,0.381730042042108,0.403448275862069
"local",2,25,283,9,0.000480128647339562,0.000782067158373216,0.0192351344047804,0.198030353212868,0.382790435218106,0.321554770318021
"local",3,1,1000,262,0.00108628422273402,0.00520196142806118,0.179639878387873,0.892316531020817,0.967673507122425,0.03
"local",3,2,738,189,0.000468628669428474,0.00316279825087868,0.182550622323293,0.863859379630566,0.950783725347425,0.032520325203252
"local",3,3,549,136,0.000559168273541066,0.00320805359489428,0.158982856760601,0.869045797150933,0.916135456314873,0.0437158469945355
"local",3,4,413,74,0.000306636273243643,0.00361919467007284,0.105245616965563,0.79066412529905,0.88965987891756,0.0677966101694915
"local",3,5,339,48,0.000551588972184135,0.00234390116583817,0.0797876923741943,0.746481508055144,0.881851620461169,0.0884955752212389
"local",3,6,291,48,0.000951443073354959,0.00198517223963373,0.0999601655511511,0.754619966609696,0.883563302751618,0.0618556701030928
"local",3,7,243,21,0.000540532393416741,0.00112327172126635,0.0481985842085965,0.47264461622646,0.761198867235606,0.152263374485597
"local",3,8,222,24,0.000564413617129175,0.00121878762329794,0.0623491157466438,0.530118549979587,0.736303645705393,0.117117117117117
"local",3,9,198,19,0.00103421846559334,0.00152745030400987,0.0508919412974737,0.459214346224018,0.66710819893171,0.131313131313131
"local",3,10,179,14,0.000288099968445877,0.000978484198249677,0.0478558938514693,0.375912042473158,0.415253487294839,0.17877094972067
"local",3,11,165,14,0.000176002761847405,0.00107544146133633,0.0526424859964621,0.433281081552775,0.601594071098238,0.109090909090909
"local",3,12,151,16,0.000170739014808453,0.000923049981798068,0.0560283948057465,0.402977043723294,0.618823981200523,0.125827814569536
"local",3,13,135,11,0.000452959292480713,0.00066003261937931,0.0409199365681146,0.381525673715807,0.446426726723478,0.118518518518519
"local",3,14,124,8,0.000793885058847115,0.00119068031710247,0.0324018608623639,0.295713683231763,0.450416219973603,0.161290322580645
"local",3,15,116,12,0.00251888385280891,0.00294790240793712,0.0531761336900769,0.587345265940447,0.603153338333972,0.0689655172413793
"local",3,16,104,8,0.00235907682419927,0.00287431011885535,0.045655684469629,0.367895036586176,0.597640880596968,0.153846153846154
"local",3,17,96,2,0.000512669018452736,0.000600779430834018,0.0110961718579872,0.185859765901693,0.240166844989334,0.458333333333333
"local",3,18,94,9,0.000839332679485453,0.000998295416390206,0.0513578900388778,0.583863071105683,0.690977649747779,0.0957446808510638
"local",3,19,85,3,0.000175354809661163,0.000493612551281837,0.0150068267521146,0.30235363427221,0.379068476995714,0.341176470588235
"local",3,20,82,3,0.000307633719233458,0.000324323148663646,0.0151056768830884,0.367233385347226,0.439593571998104,0.365853658536585
"local",3,21,79,3,0.000197075188500009,0.000294680749149973,0.0143667091309677,0.312622784008794,0.356265103845177,0.367088607594937
"local",3,22,76,2,0.000343228928573982,0.000362175309166901,0.0125453895667483,0.200896494253583,0.207783617510273,0.394736842105263
"local",3,23,74,2,0.000184461955386111,0.000285457287924427,0.010409625276197,0.153961519103453,0.216540212790158,0.486486486486487
"local",3,24,72,3,0.000219857102212853,0.000480258159650783,0.0247772519538308,0.257319746640902,0.264147509915794,0.263888888888889
"local",3,25,69,4,0.000609266477616707,0.00107003176172186,0.0340290847489989,0.301595163706155,0.375169499556973,0.188405797101449
"common",1,1,1000,23,0.000674162712021226,0.00133954297885877,0.013785316164266,0.124158339869978,0.331708901208689,0.364
"common",1,2,977,20,0.000209470067640249,0.000590261528194272,0.0108269841672092,0.129214169759915,0.259438376872808,0.479017400204708
"common",1,3,957,13,0.000197477208644987,0.000319453054453813,0.00625216454149874,0.105896076531332,0.24785355266205,0.626959247648903
"common",1,4,944,7,8.76764766467736e-05,0.000147275580115503,0.00314386020117721,0.0640296815931958,0.294905725754822,0.795550847457627
"common",1,5,937,8,3.78834349630275e-05,0.000138533791461106,0.00376001166039855,0.0801241863406879,0.202220447459283,0.766275346851654
"common",1,6,929,16,5.64764122040894e-05,0.000323582474467204,0.0074146065593839,0.148165305401451,0.476719826305665,0.582346609257266
"common",1,7,913,9,4.04062020324395e-05,0.000148089036809354,0.0040213632786085,0.10951581999861,0.341164486723521,0.757940854326396
"common",1,8,904,9,3.08369489651932e-05,0.000190927558102419,0.00398576685773266,0.0902610963484407,0.466692860470988,0.747787610619469
"common",1,9,895,4,2.15845672511127e-05,6.85512055452983e-05,0.00169405686170943,0.0399247050764855,0.106189670249816,0.889385474860335
"common",1,10,891,12,9.04767823246371e-05,0.000209050617410788,0.00523593773424593,0.11293245329304,0.255607885181553,0.668911335578002
"common",1,11,879,9,8.21669203727608e-05,0.000150073535449059,0.00431691843305791,0.0983903228544139,0.183613981825887,0.746302616609784
"common",1,12,870,6,3.51473371678482e-05,0.000112860072530332,0.0027948080649955,0.0648804293812844,0.172736453634136,0.825287356321839
"common",1,13,864,7,1.92951698675156e-05,0.000122683361594887,0.003273059003318,0.0608636902855131,0.219040797603178,0.798611111111111
"common",1,14,857,9,3.84168820549479e-05,0.000185060648361052,0.00446839721975923,0.102735027632843,0.223151612850863,0.725787631271879
"common",1,15,848,10,5.84767713800781e-05,0.000212264894636454,0.00528999954523048,0.0922212936314482,0.267744856825515,0.681603773584906
"common",1,16,838,16,0.000128179496445918,0.000403888828935693,0.0086907897351112,0.12374684204204,0.358607820678725,0.545346062052506
"common",1,17,822,9,7.55777530940208e-05,0.000186125716205531,0.00497661797406979,0.083961532922251,0.192306722989257,0.695863746958638
"common",1,18,813,5,2.92688449253135e-05,9.85453426227957e-05,0.00260071606935334,0.0479230632272743,0.150639179215556,0.833948339483395
"common",1,19,808,8,9.71842135185516e-05,0.000184469305748266,0.0044779569015703,0.0970712516133976,0.34259466911302,0.73019801980198
"common",1,20,800,6,4.15169774944121e-05,0.000132420394194565,0.00355780179073534,0.0506357278099744,0.185251381376292,0.79875
"common",1,21,794,11,0.000129430075829993,0.000282129257095039,0.0065957080362139,0.110471664387831,0.400771485763685,0.643576826196474
"common",1,22,783,6,5.7464781857918e-05,0.000131243339102821,0.00359246492512421,0.061616310024321,0.229493837238361,0.791826309067688
"common",1,23,777,7,5.16627984154735e-05,0.000160127746355089,0.00449422247000188,0.0702160812568687,0.131242573022724,0.736164736164736
"common",1,24,770,12,5.43400949466837e-05,0.000307549079318219,0.00715073056359348,0.106785416610812,0.233928896122734,0.584415584415584
"common",1,25,758,4,5.70907512614686e-05,7.78755187137331e-05,0.00262350506171873,0.0432587713972501,0.105713970916915,0.864116094986807
"common",2,1,1000,75,0.00202856903678192,0.00254378222124199,0.040866957638415,0.439760847926983,0.592994112609149,0.123
"common",2,2,925,82,0.000341941250123331,0.00210245334086416,0.0449683084605522,0.569438626178233,0.758603249006483,0.123243243243243
"common",2,3,843,63,0.000446637206405307,0.00150214613093383,0.0387352347968129,0.490634686749544,0.801230832699034,0.162514827995255
"common",2,4,780,60,0.000321630846579658,0.00139678809983602,0.0391774991036435,0.450561956817661,0.601720092209746,0.153846153846154
"common",2,5,720,55,0.000734923227599817,0.00177277575996707,0.0337098029467746,0.535268331171844,0.719639656597433,0.173611111111111
"common",2,6,665,52,0.000794264196365143,0.00178421442081445,0.0399490282102291,0.512186338318014,0.785300589021641,0.157894736842105
"common",2,7,613,42,0.000817214294330725,0.00156093758530729,0.0343519701948688,0.441304370588715,0.809833044296955,0.179445350734095
"common",2,8,571,28,0.000492478305314124,0.000978848651185368,0.0264660501948229,0.321619420270553,0.437697156350345,0.257443082311734
"common",2,9,543,28,0.000208463906391685,0.00103012293890438,0.0277522507527643,0.35038464028305,0.647079016004244,0.228360957642726
"common",2,10,515,28,0.000542748105423016,0.0012293022673664,0.0295276094907613,0.322332500288163,0.446368881750572,0.201941747572816
"common",2,11,487,27,0.000762233116695059,0.00127398853204269,0.0331179194365883,0.27984118714052,0.603666825004666,0.193018480492813
"common",2,12,460,19,0.000470701285994769,0.00107031426734926,0.0235381213079902,0.255957613631725,0.506305465900941,0.26304347826087
"common",2,13,441,14,0.000108443649704085,0.000557371286947322,0.0156362755504021,0.19870912169359,0.393578392415338,0.340136054421769
"common",2,14,427,18,0.000216287871340755,0.0011107532422212,0.0215861276322834,0.284252782352189,0.45870287362559,0.252927400468384
"common",2,15,409,20,0.000319900480349445,0.00125597243226549,0.025048359921979,0.35873709651184,0.540212040990523,0.266503667481663
"common",2,16,389,18,0.000450374436028004,0.000906047492999072,0.0230457299725081,0.289499871240984,0.456495159719262,0.272493573264781
"common",2,17,371,13,0.000417661512963908,0.000796896741669567,0.0158057554708372,0.222018187164501,0.423925267085275,0.334231805929919
"common",2,18,358,16,0.00029826957057887,0.00112280572675006,0.0210820779190872,0.307496798152017,0.632972505820552,0.284916201117318
"common",2,19,342,12,0.000689809065313551,0.00104332764969354,0.0188127092463777,0.251883663514211,0.447401421826006,0.312865497076023
"common",2,20,330,12,0.000621273613003507,0.0010852335644704,0.0222764658394146,0.180771447877187,0.261135997582922,0.23030303030303
"common",2,21,318,10,0.000186548005993051,0.000749300147361636,0.0195885457739285,0.157491486185272,0.189837106698224,0.30188679245283
"common",2,22,308,8,0.000286127726420576,0.000832679162902274,0.0160642498338934,0.145548722947487,0.246094199614789,0.337662337662338
"common",2,23,300,10,0.000594356997821252,0.000935172006457524,0.0197911657510227,0.196157292758256,0.42904752508579,0.293333333333333
"common",2,24,290,7,0.000290966276201787,0.000843344027904327,0.0127319602992167,0.147767247604638,0.381730042042108,0.403448275862069
"common",2,25,283,9,0.000480128647339562,0.000782067158373216,0.0192351344047804,0.198030353212868,0.382790435218106,0.321554770318021
"common",3,1,1000,262,0.00108628422273402,0.00520196142806118,0.179639878387873,0.892316531020817,0.967673507122425,0.03
"common",3,2,738,189,0.000468628669428474,0.00316279825087868,0.182550622323293,0.863859379630566,0.950783725347425,0.032520325203252
"common",3,3,549,136,0.000559168273541066,0.00320805359489428,0.158982856760601,0.869045797150933,0.916135456314873,0.0437158469945355
