"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","OR",3,-1,"strong",1.5,25,0.48997583214487,0.423054773738354,0.0669210584065161,0.124173095485801,0.0669210584065161,0.88,100
"Federated CCW","OR",6,-1,"strong",1.5,25,0.509073053766611,0.479834771626606,0.0292382821400046,0.123310353443228,0.0292382821400046,0.91,100
"Federated CCW","OR",9,-1,"strong",1.5,25,0.503976569899387,0.507877056794272,-0.00390048689488482,0.0984270299161249,0.00390048689488482,0.92,100
"Federated CCW","OR",3,-0.7,"strong",1.5,25,0.638908642029081,0.542655710402632,0.0962529316264484,0.225362146252537,0.0962529316264484,0.84,100
"Federated CCW","OR",6,-0.7,"strong",1.5,25,0.584736262583961,0.590302032313829,-0.00556576972986844,0.147078774080376,0.00556576972986844,0.95,100
"Federated CCW","OR",9,-0.7,"strong",1.5,25,0.673434900749699,0.613030712967855,0.0604041877818445,0.12898192607838,0.0604041877818445,0.9,100
"Federated CCW","OR",3,-0.5,"strong",1.5,25,0.795585829612851,0.644678273151436,0.150907556461415,0.228980089340683,0.150907556461415,0.92,100
"Federated CCW","OR",6,-0.5,"strong",1.5,25,0.749486482124117,0.683912333173466,0.0655741489506505,0.211697421039034,0.0655741489506505,0.86,100
"Federated CCW","OR",9,-0.5,"strong",1.5,25,0.767597381527289,0.699703830152394,0.0678935513748946,0.1996138499461,0.0678935513748946,0.92,100
"Pooled CCW","OR",3,-1,"medium",1,25,0.424935147169855,0.426561464975448,-0.001626317805593,0.0792949547515262,0.001626317805593,0.97,100
"Pooled CCW","OR",6,-1,"medium",1,25,0.499745656756347,0.485914523060327,0.0138311336960196,0.0582226378285661,0.0138311336960196,0.96,100
"Pooled CCW","OR",9,-1,"medium",1,25,0.531370694122156,0.52088262319873,0.0104880709234264,0.0636451045020126,0.0104880709234264,0.96,100
"Pooled CCW","OR",3,-0.7,"medium",1,25,0.589858667318766,0.545611441417372,0.0442472259013942,0.11678856934744,0.0442472259013942,0.95,100
"Pooled CCW","OR",6,-0.7,"medium",1,25,0.636577926445307,0.595393038271672,0.0411848881736346,0.116553740047739,0.0411848881736346,0.86,100
"Pooled CCW","OR",9,-0.7,"medium",1,25,0.616914281148237,0.624357363752497,-0.00744308260425999,0.0735100589626562,0.00744308260425999,0.98,100
"Pooled CCW","OR",3,-0.5,"medium",1,25,0.654765807047134,0.645107349285387,0.00965845776174649,0.168902855327832,0.00965845776174649,0.91,100
"Pooled CCW","OR",6,-0.5,"medium",1,25,0.67308758559035,0.685758711461126,-0.0126711258707768,0.120841709858228,0.0126711258707768,0.93,100
"Pooled CCW","OR",9,-0.5,"medium",1,25,0.703564879910825,0.709045947553628,-0.00548106764280284,0.099061540302924,0.00548106764280284,0.96,100
"Pooled CCW","OR",3,-1,"small",0.5,25,0.433543989021329,0.427098922794016,0.00644506622731341,0.0687970096169574,0.00644506622731341,0.95,100
"Pooled CCW","OR",6,-1,"small",0.5,25,0.501771611522747,0.494198818732103,0.00757279279064375,0.0502260086580266,0.00757279279064375,0.97,100
"Pooled CCW","OR",9,-1,"small",0.5,25,0.540082841537963,0.53554712579243,0.00453571574553236,0.041547857344777,0.00453571574553236,0.99,100
"Pooled CCW","OR",3,-0.7,"small",0.5,25,0.575776540281956,0.544062064736152,0.0317144755458046,0.0811172810822255,0.0317144755458046,0.97,100
"Pooled CCW","OR",6,-0.7,"small",0.5,25,0.599287929037073,0.601271192140172,-0.0019832631030984,0.0567549043445889,0.0019832631030984,1,100
"Pooled CCW","OR",9,-0.7,"small",0.5,25,0.622425620854888,0.635736871427349,-0.0133112505724611,0.0479962979412277,0.0133112505724611,0.96,100
"Pooled CCW","OR",3,-0.5,"small",0.5,25,0.664048597990547,0.644258336427251,0.0197902615632952,0.129900371797257,0.0197902615632952,0.95,100
"Pooled CCW","OR",6,-0.5,"small",0.5,25,0.713674733586776,0.690675079681274,0.0229996539055017,0.0856029090348692,0.0229996539055017,0.95,100
"Pooled CCW","OR",9,-0.5,"small",0.5,25,0.715157997490124,0.718671968743803,-0.0035139712536788,0.0660099136014292,0.0035139712536788,0.95,100
"Pooled CCW","OR",3,-1,"strong",1.5,25,0.486943137558397,0.423054773738354,0.0638883638200431,0.12859464021626,0.0638883638200431,0.84,100
"Pooled CCW","OR",6,-1,"strong",1.5,25,0.512306393514458,0.479834771626606,0.0324716218878522,0.125497154853758,0.0324716218878522,0.89,100
"Pooled CCW","OR",9,-1,"strong",1.5,25,0.507457586592789,0.507877056794272,-0.000419470201483401,0.0993167977722427,0.000419470201483401,0.96,100
"Pooled CCW","OR",3,-0.7,"strong",1.5,25,0.642086420175441,0.542655710402632,0.0994307097728089,0.217541147356105,0.0994307097728089,0.85,100
"Pooled CCW","OR",6,-0.7,"strong",1.5,25,0.594918556649039,0.590302032313829,0.00461652433520967,0.152854930957604,0.00461652433520967,0.94,100
"Pooled CCW","OR",9,-0.7,"strong",1.5,25,0.679032702501055,0.613030712967855,0.0660019895332004,0.133873835424089,0.0660019895332004,0.86,100
"Pooled CCW","OR",3,-0.5,"strong",1.5,25,0.783749166758627,0.644678273151436,0.139070893607191,0.233703923354222,0.139070893607191,0.91,100
"Pooled CCW","OR",6,-0.5,"strong",1.5,25,0.754467743486546,0.683912333173466,0.0705554103130797,0.216113499199143,0.0705554103130797,0.86,100
"Pooled CCW","OR",9,-0.5,"strong",1.5,25,0.77838539102656,0.699703830152394,0.0786815608741662,0.199293735417059,0.0786815608741662,0.91,100
"Federated landmark IPW","OR",3,-1,"medium",1,25,0.357575153342723,0.426561464975448,-0.0689863116327246,0.0836188677549194,0.0689863116327246,NA,100
"Federated landmark IPW","OR",6,-1,"medium",1,25,0.366307489441291,0.485914523060327,-0.119607033619036,0.0582964531170377,0.119607033619036,NA,100
"Federated landmark IPW","OR",9,-1,"medium",1,25,0.380855272566489,0.52088262319873,-0.140027350632241,0.0758468325037176,0.140027350632241,NA,100
"Federated landmark IPW","OR",3,-0.7,"medium",1,25,0.491106282017088,0.545611441417372,-0.0545051594002836,0.119507707816182,0.0545051594002836,NA,100
"Federated landmark IPW","OR",6,-0.7,"medium",1,25,0.507552382571091,0.595393038271672,-0.087840655700581,0.130258430228712,0.087840655700581,NA,100
"Federated landmark IPW","OR",9,-0.7,"medium",1,25,0.484792464338982,0.624357363752497,-0.139564899413515,0.0812751895388656,0.139564899413515,NA,100
"Federated landmark IPW","OR",3,-0.5,"medium",1,25,0.560002971427102,0.645107349285387,-0.0851043778582851,0.161059475146822,0.0851043778582851,NA,100
"Federated landmark IPW","OR",6,-0.5,"medium",1,25,0.543862330039191,0.685758711461126,-0.141896381421935,0.114046096517868,0.141896381421935,NA,100
"Federated landmark IPW","OR",9,-0.5,"medium",1,25,0.592119822670376,0.709045947553628,-0.116926124883252,0.0992806911144197,0.116926124883252,NA,100
"Federated landmark IPW","OR",3,-1,"small",0.5,25,0.379410843305536,0.427098922794016,-0.0476880794884802,0.0638492948311872,0.0476880794884802,NA,100
"Federated landmark IPW","OR",6,-1,"small",0.5,25,0.367073425947415,0.494198818732103,-0.127125392784688,0.0464613431522098,0.127125392784688,NA,100
"Federated landmark IPW","OR",9,-1,"small",0.5,25,0.384466455216302,0.53554712579243,-0.151080670576128,0.0375250429635214,0.151080670576128,NA,100
"Federated landmark IPW","OR",3,-0.7,"small",0.5,25,0.499466918306561,0.544062064736152,-0.0445951464295908,0.0861808863214225,0.0445951464295908,NA,100
"Federated landmark IPW","OR",6,-0.7,"small",0.5,25,0.488037189609877,0.601271192140172,-0.113234002530295,0.0553931101256406,0.113234002530295,NA,100
"Federated landmark IPW","OR",9,-0.7,"small",0.5,25,0.493124718356529,0.635736871427349,-0.14261215307082,0.0563731262863819,0.14261215307082,NA,100
"Federated landmark IPW","OR",3,-0.5,"small",0.5,25,0.623823576078298,0.644258336427251,-0.0204347603489533,0.119761425207294,0.0204347603489533,NA,100
"Federated landmark IPW","OR",6,-0.5,"small",0.5,25,0.62415608341543,0.690675079681274,-0.0665189962658445,0.0721021387632616,0.0665189962658445,NA,100
"Federated landmark IPW","OR",9,-0.5,"small",0.5,25,0.598740135372901,0.718671968743803,-0.119931833370902,0.06953203196031,0.119931833370902,NA,100
"Federated landmark IPW","OR",3,-1,"strong",1.5,25,0.389401193626303,0.423054773738354,-0.0336535801120513,0.13201279477498,0.0336535801120513,NA,100
"Federated landmark IPW","OR",6,-1,"strong",1.5,25,0.364443122869488,0.479834771626606,-0.115391648757117,0.126022976823604,0.115391648757117,NA,100
"Federated landmark IPW","OR",9,-1,"strong",1.5,25,0.380774132365434,0.507877056794272,-0.127102924428838,0.0940128468618599,0.127102924428838,NA,100
"Federated landmark IPW","OR",3,-0.7,"strong",1.5,25,0.525591026238903,0.542655710402632,-0.0170646841637292,0.194583959051348,0.0170646841637292,NA,100
"Federated landmark IPW","OR",6,-0.7,"strong",1.5,25,0.431957176336402,0.590302032313829,-0.158344855977427,0.133212654861384,0.158344855977427,NA,100
"Federated landmark IPW","OR",9,-0.7,"strong",1.5,25,0.528156396733017,0.613030712967855,-0.0848743162348376,0.118505959189777,0.0848743162348376,NA,100
"Federated landmark IPW","OR",3,-0.5,"strong",1.5,25,0.659953700565979,0.644678273151436,0.0152754274145436,0.273561171069836,0.0152754274145436,NA,100
"Federated landmark IPW","OR",6,-0.5,"strong",1.5,25,0.604339254485411,0.683912333173466,-0.0795730786880549,0.185133008216865,0.0795730786880549,NA,100
"Federated landmark IPW","OR",9,-0.5,"strong",1.5,25,0.671396960856758,0.699703830152394,-0.028306869295636,0.21705509333389,0.028306869295636,NA,100
