"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",5,-1,"medium",1,25,"correct",-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",5,-1,"medium",1,25,"no_lag",-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",5,-1,"medium",1,25,"no_tv",-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",5,-1,"medium",1,25,"coarse_L",-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",5,-1,"medium",1,25,"nonlinear_L",-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",5,-1,"medium",1,25,"cloglog",-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",5,-1,"medium",1,25,"lpm",-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",8,-1,"medium",1,25,"correct",-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",8,-1,"medium",1,25,"no_lag",-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",8,-1,"medium",1,25,"no_tv",-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",8,-1,"medium",1,25,"coarse_L",-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",8,-1,"medium",1,25,"nonlinear_L",-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",8,-1,"medium",1,25,"cloglog",-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",8,-1,"medium",1,25,"lpm",-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"correct",-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"no_lag",-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
