"task_id","rep","tau","sample_size_scenario","initiation_scenario","n_per_site","total_n","init_intercept","zero_cov_init_prob","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_treated_rate"
1,40,4,"low","low",300,3000,-5,0.00669285092428486,0.044,0.02,0.0566666666666667,1785,0.0408963585434174
1,41,4,"low","low",300,3000,-5,0.00669285092428486,0.0416666666666667,0.02,0.0566666666666667,1808,0.0392699115044248
1,42,4,"low","low",300,3000,-5,0.00669285092428486,0.0413333333333333,0.02,0.0566666666666667,1824,0.0405701754385965
1,43,4,"low","low",300,3000,-5,0.00669285092428486,0.0406666666666667,0.02,0.0566666666666667,1833,0.0381887615930169
1,44,4,"low","low",300,3000,-5,0.00669285092428486,0.0426666666666667,0.02,0.06,1841,0.0396523628462792
1,45,4,"low","low",300,3000,-5,0.00669285092428486,0.04,0.02,0.06,1857,0.0360796984383414
1,46,4,"low","low",300,3000,-5,0.00669285092428486,0.0416666666666667,0.02,0.0633333333333333,1858,0.0365984930032293
1,47,4,"low","low",300,3000,-5,0.00669285092428486,0.0406666666666667,0.02,0.0633333333333333,1875,0.0357333333333333
1,48,4,"low","low",300,3000,-5,0.00669285092428486,0.0396666666666667,0.02,0.0633333333333333,1859,0.0333512641204949
1,49,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.02,0.0633333333333333,1827,0.0355774493705528
1,50,4,"low","low",300,3000,-5,0.00669285092428486,0.0446666666666667,0.03,0.0633333333333333,1821,0.0395387149917628
1,51,4,"low","low",300,3000,-5,0.00669285092428486,0.045,0.03,0.0633333333333333,1802,0.0405105438401776
1,52,4,"low","low",300,3000,-5,0.00669285092428486,0.0453333333333333,0.03,0.0633333333333333,1787,0.0402909904868495
1,53,4,"low","low",300,3000,-5,0.00669285092428486,0.046,0.03,0.0633333333333333,1772,0.0395033860045147
1,54,4,"low","low",300,3000,-5,0.00669285092428486,0.0446666666666667,0.03,0.0633333333333333,1779,0.0404721753794266
1,55,4,"low","low",300,3000,-5,0.00669285092428486,0.0466666666666667,0.0333333333333333,0.0633333333333333,1766,0.0413363533408834
1,56,4,"low","low",300,3000,-5,0.00669285092428486,0.0433333333333333,0.03,0.0566666666666667,1768,0.0384615384615385
1,57,4,"low","low",300,3000,-5,0.00669285092428486,0.0453333333333333,0.03,0.0566666666666667,1760,0.0409090909090909
1,58,4,"low","low",300,3000,-5,0.00669285092428486,0.047,0.03,0.0566666666666667,1766,0.043035107587769
1,59,4,"low","low",300,3000,-5,0.00669285092428486,0.0476666666666667,0.03,0.0633333333333333,1777,0.0450196961170512
1,60,4,"low","low",300,3000,-5,0.00669285092428486,0.045,0.03,0.0633333333333333,1784,0.0426008968609865
1,61,4,"low","low",300,3000,-5,0.00669285092428486,0.0466666666666667,0.03,0.0633333333333333,1796,0.0434298440979955
1,62,4,"low","low",300,3000,-5,0.00669285092428486,0.047,0.03,0.0633333333333333,1830,0.0442622950819672
1,63,4,"low","low",300,3000,-5,0.00669285092428486,0.047,0.03,0.0633333333333333,1834,0.0463467829880044
1,64,4,"low","low",300,3000,-5,0.00669285092428486,0.0463333333333333,0.03,0.0633333333333333,1826,0.0443592552026287
1,65,4,"low","low",300,3000,-5,0.00669285092428486,0.046,0.03,0.0633333333333333,1852,0.0442764578833693
1,66,4,"low","low",300,3000,-5,0.00669285092428486,0.0483333333333333,0.03,0.0633333333333333,1840,0.0472826086956522
