"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","initiation_scenario","n_sites","n_per_site","total_n","init_intercept","zero_cov_init_prob","mean_est","median_est","truth","bias","median_bias","emp_sd","rmse","coverage","mean_observed_init_rate","mean_min_site_init_rate","mean_max_site_init_rate","mean_landmark_n","mean_landmark_treated_rate","n_reps"
"fed_ipw_no_clone","RMST_diff",8,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,6.39614544574042,6.13465860273294,1.13643585821513,5.2597095875253,4.99822274451781,2.04327165382141,5.2597095875253,NA,0.0588822222222222,0.0398111111111111,0.0791333333333333,1208.72,0.0596162670504002,300
"fed_landmark_ipw","RMST_diff",4,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,3.17343155080698,3.1637180594632,2.84353121803927,0.329900332767707,0.320186841423924,0.288212495307508,0.329900332767707,NA,0.606795333333333,0.583526666666667,0.6316,6736.90333333333,0.619209949593489,300
"fed_landmark_ipw","RMST_diff",6,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,2.44023631415974,2.4885817613731,2.6829365463258,-0.242700232166063,-0.194354784952703,0.320143884519441,0.242700232166063,NA,0.665664333333333,0.64223,0.688003333333333,5736.41666666667,0.691164952838322,300
"fed_landmark_ipw","RMST_diff",8,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,1.83823716035075,1.79258540862543,2.61164550344623,-0.773408343095475,-0.819060094820804,0.333133101686786,0.773408343095475,NA,0.700922333333333,0.679126666666667,0.72313,4985.12,0.738379274558101,300
"fed_landmark_ipw","RMST_diff",4,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,3.05993386994261,2.99600458074516,2.84353121803927,0.216402651903336,0.152473362705885,0.834575709997507,0.216402651903336,NA,0.607707777777778,0.561244444444444,0.648611111111111,2010.23,0.621731744630296,300
"fed_landmark_ipw","RMST_diff",6,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,2.33598389036992,2.34280732598216,2.6829365463258,-0.346952655955882,-0.340129220343641,0.666265644488569,0.346952655955882,NA,0.670456666666667,0.629466666666667,0.7134,1720.96666666667,0.695496087195759,300
"fed_landmark_ipw","RMST_diff",8,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,1.75741735069942,1.7094315128319,2.61164550344623,-0.854228152746805,-0.902213990614333,0.842303360938365,0.854228152746805,NA,0.701495555555556,0.659388888888889,0.7458,1501.08,0.738323474140332,300
"fed_landmark_ipw","RMST_diff",4,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,3.76594060965357,3.35223128714279,2.07204976682396,1.69389084282961,1.28018152031883,2.22187506540045,1.69389084282961,NA,0.042601,0.0335433333333333,0.0519566666666667,5956.41,0.0411334769112601,300
"fed_landmark_ipw","RMST_diff",6,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,3.76127386300781,3.59494339825816,1.5136877589414,2.24758610406642,2.08125563931676,1.60279236394427,2.24758610406642,NA,0.051551,0.04107,0.0622433333333333,4828.52333333333,0.0510128728262611,300
"fed_landmark_ipw","RMST_diff",8,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,3.26883844159303,3.41114157704698,1.13643585821513,2.13240258337791,2.27470571883185,1.22678023679553,2.13240258337791,NA,0.0588906666666667,0.04804,0.0700766666666667,4018.98,0.0607858937437258,300
