"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",8,-0.7,"medium",1,25,"no_tv",-0.0808422304911492,-0.0730403093091784,-0.00780192118197082,0.0165977560989783,0.0182647372435424,0.98,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"coarse_L",-0.0848537480867746,-0.0730403093091784,-0.0118134387775963,0.0197419271221169,0.0229216837379378,0.96,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"correct",-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"no_tv",-0.0979562789586814,-0.0704769067816117,-0.0274793721770697,0.0476298553436811,0.0547816847505195,0.9,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"coarse_L",-0.0907190940929412,-0.0704769067816117,-0.0202421873113295,0.0541473156056871,0.0575530938922993,0.91,100
"Federated CCW","RD",5,-0.5,"medium",1,25,"correct",-0.0675423822184411,-0.057593918015868,-0.00994846420257307,0.032857240929111,0.034172711900708,0.9,100
"Federated CCW","RD",5,-0.5,"medium",1,25,"no_tv",-0.078482975373211,-0.057593918015868,-0.020889057357343,0.030456600278052,0.0368059937071455,0.89,100
"Federated CCW","RD",5,-0.5,"medium",1,25,"coarse_L",-0.0768617288083997,-0.057593918015868,-0.0192678107925317,0.0316882294029592,0.03695065596988,0.9,100
"Federated CCW","RD",8,-0.5,"medium",1,25,"correct",-0.0553925080214092,-0.0512113647691539,-0.00418114325225534,0.0233166710878672,0.0235735537840493,0.98,100
"Federated CCW","RD",8,-0.5,"medium",1,25,"no_tv",-0.0611442478173377,-0.0512113647691539,-0.00993288304818386,0.0180868336051844,0.0205553978315164,0.97,100
"Federated CCW","RD",8,-0.5,"medium",1,25,"coarse_L",-0.0635989507792054,-0.0512113647691539,-0.0123875860100515,0.0217237001352341,0.0249128931127306,0.98,100
"Federated CCW","RD",2,-1,"strong",2,25,"correct",-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",2,-1,"strong",2,25,"no_tv",-0.137698880946719,-0.158281734212093,0.020582853265374,0.0482791201082942,0.0522610615333319,0.85,100
"Federated CCW","RD",2,-1,"strong",2,25,"coarse_L",-0.13778180732105,-0.158281734212093,0.0204999268910427,0.0739277833494499,0.0763604019239794,0.83,100
"Federated CCW","RD",5,-1,"strong",2,25,"correct",-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",5,-1,"strong",2,25,"no_tv",-0.119500142025341,-0.129431014759885,0.00993087273454456,0.0416734053010494,0.0426371694131001,0.89,100
"Federated CCW","RD",5,-1,"strong",2,25,"coarse_L",-0.124517872013509,-0.129431014759885,0.00491314274637596,0.075554561375211,0.0753362183733746,0.8,100
"Federated CCW","RD",8,-1,"strong",2,25,"correct",-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",8,-1,"strong",2,25,"no_tv",-0.0934713254297377,-0.111633512871676,0.0181621874419384,0.0318585944095567,0.0365333462750296,0.91,100
"Federated CCW","RD",8,-1,"strong",2,25,"coarse_L",-0.100431518905683,-0.111633512871676,0.0112019939659931,0.0426664373764864,0.0439056408498016,0.88,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"correct",-0.0754065340644103,-0.102744180069684,0.0273376460052732,0.0883004241442855,0.0920127281637152,0.77,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"no_tv",-0.0767286731166909,-0.102744180069684,0.0260155069529926,0.0596858459642688,0.0648350430585723,0.75,100
"Federated CCW","RD",2,-0.7,"strong",2,25,"coarse_L",-0.067318376258513,-0.102744180069684,0.0354258038111706,0.069989007337118,0.0781310700824093,0.78,100
"Federated CCW","RD",5,-0.7,"strong",2,25,"correct",-0.0994028199254125,-0.0864289105015962,-0.0129739094238164,0.116028631318822,0.116173745651069,0.76,100
"Federated CCW","RD",5,-0.7,"strong",2,25,"no_tv",-0.0936527851397518,-0.0864289105015962,-0.00722387463815563,0.0765772172463813,0.0765350499050942,0.82,100
"Federated CCW","RD",5,-0.7,"strong",2,25,"coarse_L",-0.0892065301053587,-0.0864289105015962,-0.00277761960376252,0.0876085736941598,0.08721367285891,0.75,100
"Federated CCW","RD",8,-0.7,"strong",2,25,"correct",-0.0602003458567863,-0.073695298677964,0.0134949528211776,0.065121784653122,0.0661857395493117,0.83,100
"Federated CCW","RD",8,-0.7,"strong",2,25,"no_tv",-0.058822733590372,-0.073695298677964,0.014872565087592,0.0285219501698016,0.032039972180987,0.86,100
"Federated CCW","RD",8,-0.7,"strong",2,25,"coarse_L",-0.0552252482474128,-0.073695298677964,0.0184700504305511,0.046093477465419,0.0494419390913589,0.79,100
"Federated CCW","RD",2,-0.5,"strong",2,25,"correct",-0.0243509163213061,-0.0679421293508451,0.043591213029539,0.0959957615439782,0.104991562639342,0.58,100
"Federated CCW","RD",2,-0.5,"strong",2,25,"no_tv",-0.0450816129169856,-0.0679421293508451,0.0228605164338595,0.0521814055745839,0.0567298273264125,0.78,100
"Federated CCW","RD",2,-0.5,"strong",2,25,"coarse_L",-0.032861991525697,-0.0679421293508451,0.0350801378251481,0.0856873236102436,0.0921927888885196,0.68,100
