"task_id","rep","tau","size_scenario","mix_scenario","total_n","site_sizes","site_weights","target_x1_mean","target_x2_prob","observed_x1_mean","observed_x1_sd","observed_x2_prob","site1_x1_mean","site1_x1_sd","site1_x2_prob","site2_x1_mean","site2_x1_sd","site2_x2_prob","site3_x1_mean","site3_x1_sd","site3_x2_prob","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,16,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0079520878115869,0.979240549282599,0.419333333333333,0.00612642477105652,0.955269997466163,0.434,-0.00670738813963239,1.02021750889454,0.39,0.0244372268033366,0.962654655839113,0.434,0.846,0.838,0.86,0.0953333333333333,0.09,0.102,906,675,0.745033112582781,0.0916114790286976
1,17,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.00400702724651985,1.01213438024388,0.415333333333333,-0.00670738813963239,1.02021750889454,0.39,0.0244372268033366,0.962654655839113,0.434,-0.00570875692414479,1.05317533726188,0.422,0.845333333333333,0.836,0.86,0.102666666666667,0.094,0.112,907,675,0.744211686879824,0.0904079382579934
1,18,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0123088783384967,0.999113476283742,0.405333333333333,0.0244372268033366,0.962654655839113,0.434,-0.00570875692414479,1.05317533726188,0.422,0.0181981651362981,0.980966064781245,0.36,0.833333333333333,0.824,0.84,0.104,0.094,0.112,896,646,0.720982142857143,0.0970982142857143
1,19,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0249622909394725,0.99755839724608,0.4,-0.00570875692414479,1.05317533726188,0.422,0.0181981651362981,0.980966064781245,0.36,0.062397464606264,0.956813137633694,0.418,0.841333333333333,0.824,0.864,0.108,0.106,0.112,899,661,0.735261401557286,0.10567296996663
1,20,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0307717996938153,0.980337689565047,0.397333333333333,0.0181981651362981,0.980966064781245,0.36,0.062397464606264,0.956813137633694,0.418,0.0117197693388838,1.00385646411612,0.414,0.840666666666667,0.824,0.864,0.112,0.106,0.124,893,654,0.732362821948488,0.119820828667413
1,21,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0344707318843632,0.989097897530625,0.409333333333333,0.062397464606264,0.956813137633694,0.418,0.0117197693388838,1.00385646411612,0.414,0.0292949617079418,1.00713401363025,0.396,0.851333333333333,0.834,0.864,0.115333333333333,0.106,0.124,879,656,0.746302616609784,0.112627986348123
1,22,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0421179255248346,0.992886788426019,0.397333333333333,0.0117197693388838,1.00385646411612,0.414,0.0292949617079418,1.00713401363025,0.396,0.085339045527678,0.967685142276693,0.382,0.850666666666667,0.834,0.862,0.11,0.09,0.124,870,646,0.742528735632184,0.109195402298851
1,23,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0657620835769122,0.983236396304175,0.383333333333333,0.0292949617079418,1.00713401363025,0.396,0.085339045527678,0.967685142276693,0.382,0.0826522434951168,0.975397534921604,0.372,0.864666666666667,0.856,0.876,0.106,0.09,0.116,878,675,0.76879271070615,0.0933940774487472
1,24,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0743907332527376,0.986897305836292,0.374,0.085339045527678,0.967685142276693,0.382,0.0826522434951168,0.975397534921604,0.372,0.0551809107354179,1.01854278836121,0.368,0.856666666666667,0.832,0.876,0.0973333333333333,0.09,0.112,904,689,0.76216814159292,0.0962389380530973
1,25,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0663265133645738,0.998714056269583,0.366,0.0826522434951168,0.975397534921604,0.372,0.0551809107354179,1.01854278836121,0.368,0.0611463858631866,1.00351324142691,0.358,0.852,0.832,0.876,0.0993333333333333,0.09,0.112,915,693,0.757377049180328,0.0983606557377049
1,26,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0220584491683427,0.976174547939825,0.385333333333333,0.0551809107354179,1.01854278836121,0.368,0.0611463858631866,1.00351324142691,0.358,-0.0501519490935765,0.900136820929975,0.43,0.853333333333333,0.832,0.88,0.094,0.09,0.096,913,693,0.759036144578313,0.106243154435926
1,27,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.00577274629872609,0.96471421265843,0.405333333333333,0.0611463858631866,1.00351324142691,0.358,-0.0501519490935765,0.900136820929975,0.43,-0.0283126756657882,0.985644914211212,0.428,0.864,0.848,0.88,0.100666666666667,0.096,0.11,918,714,0.777777777777778,0.108932461873638
1,28,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,-0.0162762645799025,0.953758485539673,0.424,-0.0501519490935765,0.900136820929975,0.43,-0.0283126756657882,0.985644914211212,0.428,0.0296358310196573,0.973376748064941,0.414,0.872,0.864,0.88,0.104666666666667,0.096,0.11,905,713,0.787845303867403,0.104972375690608
1,29,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.00210402134004545,0.983902012552822,0.4,-0.0283126756657882,0.985644914211212,0.428,0.0296358310196573,0.973376748064941,0.414,0.00498890866626717,0.993688303587514,0.358,0.866,0.862,0.872,0.114,0.108,0.124,898,697,0.776169265033408,0.112472160356347
1,30,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0100959204488184,0.995420046058005,0.381333333333333,0.0296358310196573,0.973376748064941,0.414,0.00498890866626717,0.993688303587514,0.358,-0.00433697833946922,1.02032270378572,0.372,0.863333333333333,0.856,0.872,0.113333333333333,0.108,0.124,883,678,0.767836919592299,0.109852774631937
1,31,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0176424551755696,1.00182408553071,0.383333333333333,0.00498890866626717,0.993688303587514,0.358,-0.00433697833946922,1.02032270378572,0.372,0.052275435199911,0.992298311027147,0.42,0.856666666666667,0.852,0.862,0.123333333333333,0.108,0.138,902,687,0.761640798226164,0.130820399113082
1,32,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.0238543942732337,1.00831806992573,0.403333333333333,-0.00433697833946922,1.02032270378572,0.372,0.052275435199911,0.992298311027147,0.42,0.0236247259592594,1.01334635263565,0.418,0.857333333333333,0.852,0.864,0.113333333333333,0.094,0.138,907,693,0.764057331863286,0.114663726571114
1,33,4,"balanced","homogeneous",1500,"500/500/500","0.333333/0.333333/0.333333",0,0.4,0.00560166518460451,1.00875377929185,0.409333333333333,0.052275435199911,0.992298311027147,0.42,0.0236247259592594,1.01334635263565,0.418,-0.059095165605357,1.01911821238863,0.39,0.848666666666667,0.83,0.864,0.114666666666667,0.094,0.138,912,685,0.75109649122807,0.114035087719298
