"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Per-protocol (no IPTW)","RR",2,-0.7,"medium",1,25,1.07760332511505,0.894993283039033,0.182610042076017,0.0306688682139339,0.185142110687312,NA,100
"Per-protocol (no IPTW)","RR",5,-0.7,"medium",1,25,1.05781038351562,0.91574762210495,0.14206276141067,0.0215531581295625,0.143672270876218,NA,100
"Per-protocol (no IPTW)","RR",8,-0.7,"medium",1,25,1.02654507999132,0.929333280993719,0.0972117989976047,0.0210470625452772,0.0994418569703808,NA,100
"Per-protocol (no IPTW)","RR",2,-0.5,"medium",1,25,1.10956622820167,0.929831760765643,0.179734467436022,0.0254478522469798,0.181509217497776,NA,100
"Per-protocol (no IPTW)","RR",5,-0.5,"medium",1,25,1.09756020264497,0.942982729718888,0.154577472926086,0.0214757807060299,0.156047403700218,NA,100
"Per-protocol (no IPTW)","RR",8,-0.5,"medium",1,25,1.0654961793116,0.951852359563262,0.113643819748338,0.0213409852604624,0.115610557659589,NA,100
"Per-protocol (no IPTW)","RR",2,-1,"strong",2,25,1.11084219452782,0.841605605577379,0.269236588950445,0.0271260843035837,0.270586043680784,NA,100
"Per-protocol (no IPTW)","RR",5,-1,"strong",2,25,1.10281576336178,0.868506924989261,0.234308838372524,0.0207167419826934,0.235213782129949,NA,100
"Per-protocol (no IPTW)","RR",8,-1,"strong",2,25,1.08902797068648,0.887623123138768,0.201404847547717,0.0250517250150286,0.202941434046095,NA,100
"Per-protocol (no IPTW)","RR",2,-0.7,"strong",2,25,1.1694676985973,0.897945160515507,0.271522538081792,0.0176147117600304,0.272087603495755,NA,100
"Per-protocol (no IPTW)","RR",5,-0.7,"strong",2,25,1.1629081450262,0.913728720750739,0.249179424275456,0.0221394589761912,0.250151233396057,NA,100
"Per-protocol (no IPTW)","RR",8,-0.7,"strong",2,25,1.15653513208868,0.926595854155653,0.229939277933029,0.0209995664035682,0.230886646447146,NA,100
"Per-protocol (no IPTW)","RR",2,-0.5,"strong",2,25,1.19071642307542,0.936282457276884,0.254433965798531,0.0201283142315377,0.255220964059447,NA,100
"Per-protocol (no IPTW)","RR",5,-0.5,"strong",2,25,1.19689526619971,0.944036103696388,0.252859162503321,0.0197460349962357,0.25362129820063,NA,100
"Per-protocol (no IPTW)","RR",8,-0.5,"strong",2,25,1.1889227532677,0.952891141199755,0.236031612067943,0.0203949173881559,0.236902332247086,NA,100
"Federated CCW","OR",2,-1,"small",0.4,25,0.451266595830055,0.44064845161737,0.010618144212685,0.0691219356690923,0.0695902906823724,0.96,100
"Federated CCW","OR",5,-1,"small",0.4,25,0.519712325699266,0.517599903911689,0.00211242178757719,0.0625466068577368,0.0622689294506559,0.92,100
"Federated CCW","OR",8,-1,"small",0.4,25,0.578692141597061,0.57558968224295,0.00310245935411128,0.0490929353793416,0.0489452796004122,0.99,100
"Federated CCW","OR",2,-0.7,"small",0.4,25,0.619095468639434,0.557741997348922,0.0613534712905122,0.110745128641132,0.126119336828098,0.94,100
"Federated CCW","OR",5,-0.7,"small",0.4,25,0.620453374027345,0.622333710255199,-0.00188033622785331,0.0685533084342807,0.0682355933559791,0.96,100
"Federated CCW","OR",8,-0.7,"small",0.4,25,0.641829322565524,0.670712942262974,-0.0288836196974499,0.0607179130924361,0.0669631376760717,0.94,100
"Federated CCW","OR",2,-0.5,"small",0.4,25,0.639995983575181,0.655040310660453,-0.0150443270852718,0.104302339769695,0.104864293627846,0.96,100
"Federated CCW","OR",5,-0.5,"small",0.4,25,0.728236809737323,0.708533899301728,0.0197029104355951,0.0916526676547756,0.0932974493380578,0.96,100
"Federated CCW","OR",8,-0.5,"small",0.4,25,0.744180017682141,0.747285735720708,-0.00310571803856642,0.0689944774813346,0.0687188549688384,0.96,100
"Federated CCW","OR",2,-1,"medium",1,25,0.479336039398502,0.440902769278821,0.0384332701196815,0.119069252350208,0.124550504771268,0.91,100
"Federated CCW","OR",5,-1,"medium",1,25,0.501680387768043,0.51163390392311,-0.00995351615506728,0.0815404858978537,0.0817400441393488,0.94,100
"Federated CCW","OR",8,-1,"medium",1,25,0.516997982277126,0.563907302704039,-0.0469093204269137,0.0609019400171776,0.0766318483255637,0.9,100
