"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","outcome_scenario","n_sites","n_per_site","total_n","event_intercept","init_intercept","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_observed_death_rate","mean_min_site_death_rate","mean_max_site_death_rate","mean_observed_init_rate","mean_landmark_n","mean_landmark_event_n","mean_landmark_event_rate","mean_landmark_treated_rate","n_reps"
"fed_ipw_no_clone","OR",6,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.588885112398733,0.520238012579778,0.588892190875553,-7.07847681991354e-06,-0.0686541782957747,0.264421141262063,0.263980071589913,NA,0.06274,0.0297666666666667,0.1051,0.36521,986.276666666667,49.0166666666667,0.0496955991149219,0.364436333420635,300
"fed_ipw_no_clone","OR",8,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.5556019589222,0.521568943627077,0.625799445771276,-0.0701974868490757,-0.104230502144199,0.209213362090907,0.220345222929193,NA,0.0640033333333333,0.0289333333333333,0.103533333333333,0.436016666666667,980.373333333333,44.3766666666667,0.0452636006781888,0.434662604135091,300
"fed_landmark_ipw","OR",4,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.510181352107667,0.509067280548511,0.582633042898775,-0.0724516907911086,-0.0735657623502648,0.0723358706204137,0.102295083376356,NA,0.743688,0.70956,0.774646666666667,0.235289333333333,3602.80333333333,2321.24333333333,0.644278204237654,0.235365834666581,300
"fed_landmark_ipw","OR",6,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.50141889411372,0.496217725362973,0.61567051638454,-0.11425162227082,-0.119452791021567,0.077067864653557,0.137742842891741,NA,0.738585333333333,0.70724,0.76812,0.284996,3120.55333333333,1813.48,0.581137505205074,0.291088024585598,300
"fed_landmark_ipw","OR",8,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,0.530734056084705,0.521363927449331,0.640764528153496,-0.110030472068792,-0.119400600704165,0.0710861948873608,0.130931691084447,NA,0.736172666666667,0.70202,0.7663,0.316197333333333,2758.8,1439.66333333333,0.521854847817825,0.328205901309744,300
"fed_landmark_ipw","OR",4,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.564252460825594,0.54540979637606,0.582633042898775,-0.0183805820731817,-0.037223246522715,0.187473698533406,0.188061369806961,NA,0.747856666666667,0.674466666666667,0.8127,0.234956666666667,718.236666666667,466.093333333333,0.648951717977514,0.234844424464582,300
"fed_landmark_ipw","OR",6,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.572420336884766,0.566848166506569,0.61567051638454,-0.0432501794997738,-0.048822349877971,0.201800080622157,0.206053649140399,NA,0.74083,0.6658,0.8138,0.280433333333333,618.436666666667,359.266666666667,0.580998000011258,0.285968866882874,300
"fed_landmark_ipw","OR",8,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,0.622797302163177,0.582304811031283,0.640764528153496,-0.0179672259903192,-0.0584597171222135,0.231678113168535,0.231988477093257,NA,0.735933333333333,0.665,0.7994,0.31839,554.226666666667,290.16,0.523409018076687,0.333834966688967,300
"fed_landmark_ipw","OR",4,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.55888327490016,0.546718119143315,0.565233417328474,-0.0063501424283134,-0.0185152981851591,0.0829883445709994,0.0830929164191871,NA,0.0674393333333333,0.0510666666666667,0.08458,0.275262,4956.23666666667,293.433333333333,0.059204311502672,0.274832179691644,300
"fed_landmark_ipw","OR",6,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.622961030377189,0.603672613891253,0.588892190875553,0.0340688395016362,0.0147804230157003,0.126922518509854,0.131210951438982,NA,0.0626566666666667,0.04512,0.0810733333333333,0.365666,4932.87666666667,246.16,0.049902764821515,0.364770776629118,300
"fed_landmark_ipw","OR",8,-0.7,"medium",1,"large","rare",10,500,5000,-7,-3,0.661591054220144,0.651228936049834,0.625799445771276,0.0357916084488683,0.0254294902785587,0.0937056761771241,0.100162487009907,NA,0.0606946666666667,0.0436666666666667,0.0790733333333333,0.433404,4905.93333333333,209.406666666667,0.0426846609272303,0.432268742241349,300
"fed_landmark_ipw","OR",4,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.635222944926518,0.586323031908262,0.565233417328474,0.0699895275980442,0.0210896145797879,0.273340930932591,0.281717496110464,NA,0.06893,0.0324,0.1067,0.278816666666667,990.566666666667,59.4966666666667,0.0600637569699212,0.277626205150898,300
"fed_landmark_ipw","OR",6,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.711096029806758,0.653570185284203,0.588892190875553,0.122203838931206,0.0646779944086504,0.331843231221586,0.353109957270274,NA,0.06274,0.0297666666666667,0.1051,0.36521,986.276666666667,49.0166666666667,0.0496955991149219,0.364436333420635,300
"fed_landmark_ipw","OR",8,-0.7,"medium",1,"low","rare",10,100,1000,-7,-3,0.724979355637228,0.670848949420713,0.625799445771276,0.0991799098659528,0.0450495036494374,0.31840191584237,0.332984236763649,NA,0.0640033333333333,0.0289333333333333,0.103533333333333,0.436016666666667,980.373333333333,44.3766666666667,0.0452636006781888,0.434662604135091,300
"fed_perprotocol_naive","OR",4,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,1.65702332414034,1.65321012928671,0.582633042898775,1.07439028124156,1.07057708638794,0.133403650196907,1.08261336059212,NA,0.743688,0.70956,0.774646666666667,0.235289333333333,3602.80333333333,2321.24333333333,0.644278204237654,0.235365834666581,300
"fed_perprotocol_naive","OR",6,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,1.40177572645226,1.39666182834647,0.61567051638454,0.786105210067718,0.780991311961934,0.105504784487816,0.793130226789354,NA,0.738585333333333,0.70724,0.76812,0.284996,3120.55333333333,1813.48,0.581137505205074,0.291088024585598,300
"fed_perprotocol_naive","OR",8,-0.7,"medium",1,"large","common",10,500,5000,-3,-3,1.34081961215322,1.3332118858356,0.640764528153496,0.700055083999721,0.6924473576821,0.101165332396501,0.707302926873972,NA,0.736172666666667,0.70202,0.7663,0.316197333333333,2758.8,1439.66333333333,0.521854847817825,0.328205901309744,300
"fed_perprotocol_naive","OR",4,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,1.6337112640068,1.5943454898991,0.582633042898775,1.05107822110802,1.01171244700032,0.339738358626371,1.10444684738651,NA,0.747856666666667,0.674466666666667,0.8127,0.234956666666667,718.236666666667,466.093333333333,0.648951717977514,0.234844424464582,300
"fed_perprotocol_naive","OR",6,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,1.45269666570926,1.43700848858019,0.61567051638454,0.83702614932472,0.821337972195654,0.245436685285638,0.87215316539915,NA,0.74083,0.6658,0.8138,0.280433333333333,618.436666666667,359.266666666667,0.580998000011258,0.285968866882874,300
"fed_perprotocol_naive","OR",8,-0.7,"medium",1,"low","common",10,100,1000,-3,-3,1.30907048889652,1.30909554678967,0.640764528153496,0.668305960743027,0.668331018636175,0.203701284716378,0.698561920315668,NA,0.735933333333333,0.665,0.7994,0.31839,554.226666666667,290.16,0.523409018076687,0.333834966688967,300
