"task_id","rep","tau","sample_size_scenario","outcome_scenario","n_per_site","total_n","event_intercept","init_intercept","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,62,4,"low","rare",100,1000,-7,-3,0.066,0.02,0.12,0.275,0.23,0.35,989,55,0.0556117290192113,0.269969666329626
1,63,4,"low","rare",100,1000,-7,-3,0.067,0.02,0.12,0.271,0.22,0.35,987,54,0.0547112462006079,0.265450861195542
1,64,4,"low","rare",100,1000,-7,-3,0.065,0.02,0.12,0.281,0.22,0.38,988,53,0.0536437246963563,0.276315789473684
1,65,4,"low","rare",100,1000,-7,-3,0.058,0.02,0.08,0.286,0.22,0.38,990,48,0.0484848484848485,0.280808080808081
1,66,4,"low","rare",100,1000,-7,-3,0.055,0.02,0.08,0.278,0.2,0.38,993,48,0.0483383685800604,0.274924471299094
1,67,4,"low","rare",100,1000,-7,-3,0.057,0.02,0.08,0.269,0.2,0.38,993,50,0.0503524672708963,0.265861027190332
1,68,4,"low","rare",100,1000,-7,-3,0.06,0.02,0.08,0.263,0.2,0.38,990,50,0.0505050505050505,0.25959595959596
1,69,4,"low","rare",100,1000,-7,-3,0.056,0.02,0.08,0.25,0.19,0.38,992,48,0.0483870967741935,0.247983870967742
1,70,4,"low","rare",100,1000,-7,-3,0.057,0.02,0.08,0.254,0.19,0.38,991,48,0.0484359233097881,0.252270433905146
1,71,4,"low","rare",100,1000,-7,-3,0.059,0.02,0.1,0.262,0.19,0.38,993,52,0.0523665659617321,0.260825780463243
1,72,4,"low","rare",100,1000,-7,-3,0.067,0.04,0.1,0.272,0.19,0.38,994,61,0.0613682092555332,0.271629778672032
1,73,4,"low","rare",100,1000,-7,-3,0.066,0.04,0.1,0.279,0.19,0.38,996,62,0.0622489959839357,0.279116465863454
1,74,4,"low","rare",100,1000,-7,-3,0.072,0.04,0.13,0.267,0.19,0.33,994,66,0.0663983903420523,0.267605633802817
1,75,4,"low","rare",100,1000,-7,-3,0.076,0.04,0.13,0.264,0.19,0.33,993,69,0.0694864048338369,0.264853977844914
1,76,4,"low","rare",100,1000,-7,-3,0.075,0.03,0.13,0.269,0.19,0.33,993,68,0.0684793554884189,0.269889224572004
1,77,4,"low","rare",100,1000,-7,-3,0.07,0.02,0.13,0.277,0.19,0.34,993,63,0.0634441087613293,0.277945619335347
1,78,4,"low","rare",100,1000,-7,-3,0.07,0.02,0.13,0.284,0.19,0.34,994,64,0.0643863179074447,0.283702213279678
1,79,4,"low","rare",100,1000,-7,-3,0.07,0.02,0.13,0.286,0.21,0.34,993,63,0.0634441087613293,0.286002014098691
1,80,4,"low","rare",100,1000,-7,-3,0.072,0.02,0.13,0.283,0.21,0.34,993,65,0.0654582074521652,0.282980866062437
1,81,4,"low","rare",100,1000,-7,-3,0.068,0.02,0.13,0.276,0.21,0.34,991,59,0.0595358224016145,0.27547931382442
1,82,4,"low","rare",100,1000,-7,-3,0.07,0.02,0.13,0.271,0.21,0.34,988,58,0.0587044534412955,0.269230769230769
1,83,4,"low","rare",100,1000,-7,-3,0.07,0.02,0.13,0.272,0.21,0.34,987,57,0.0577507598784195,0.270516717325228
1,84,4,"low","rare",100,1000,-7,-3,0.066,0.02,0.12,0.27,0.21,0.34,987,53,0.0536980749746707,0.268490374873354
1,85,4,"low","rare",100,1000,-7,-3,0.059,0.02,0.12,0.269,0.21,0.34,988,47,0.0475708502024291,0.267206477732794
1,86,4,"low","rare",100,1000,-7,-3,0.061,0.02,0.12,0.275,0.21,0.34,988,49,0.0495951417004049,0.273279352226721
1,87,4,"low","rare",100,1000,-7,-3,0.066,0.02,0.12,0.272,0.21,0.31,987,53,0.0536980749746707,0.270516717325228
1,88,4,"low","rare",100,1000,-7,-3,0.066,0.02,0.12,0.268,0.21,0.31,988,54,0.0546558704453441,0.268218623481781
1,89,4,"low","rare",100,1000,-7,-3,0.073,0.02,0.12,0.27,0.23,0.31,986,59,0.0598377281947262,0.27079107505071
1,90,4,"low","rare",100,1000,-7,-3,0.072,0.02,0.12,0.276,0.23,0.32,986,58,0.0588235294117647,0.275862068965517
1,91,4,"low","rare",100,1000,-7,-3,0.074,0.02,0.12,0.288,0.23,0.37,986,60,0.0608519269776876,0.288032454361055
1,92,4,"low","rare",100,1000,-7,-3,0.065,0.02,0.11,0.29,0.23,0.37,989,54,0.0546006066734075,0.291203235591507
1,93,4,"low","rare",100,1000,-7,-3,0.064,0.02,0.11,0.291,0.23,0.37,988,52,0.0526315789473684,0.291497975708502
1,94,4,"low","rare",100,1000,-7,-3,0.063,0.02,0.11,0.294,0.23,0.37,990,53,0.0535353535353535,0.293939393939394
1,95,4,"low","rare",100,1000,-7,-3,0.069,0.03,0.11,0.307,0.23,0.4,990,59,0.0595959595959596,0.307070707070707
1,96,4,"low","rare",100,1000,-7,-3,0.067,0.03,0.11,0.297,0.21,0.4,990,57,0.0575757575757576,0.296969696969697
1,97,4,"low","rare",100,1000,-7,-3,0.067,0.03,0.11,0.298,0.21,0.4,990,57,0.0575757575757576,0.297979797979798
1,98,4,"low","rare",100,1000,-7,-3,0.067,0.03,0.11,0.307,0.21,0.4,990,57,0.0575757575757576,0.307070707070707
1,99,4,"low","rare",100,1000,-7,-3,0.066,0.03,0.1,0.312,0.21,0.4,993,59,0.0594159113796576,0.311178247734139
1,100,4,"low","rare",100,1000,-7,-3,0.068,0.03,0.1,0.309,0.21,0.4,992,60,0.0604838709677419,0.308467741935484
1,101,4,"low","rare",100,1000,-7,-3,0.065,0.03,0.1,0.3,0.21,0.4,994,59,0.0593561368209256,0.299798792756539
1,102,4,"low","rare",100,1000,-7,-3,0.072,0.03,0.1,0.3,0.21,0.4,993,65,0.0654582074521652,0.300100704934542
1,103,4,"low","rare",100,1000,-7,-3,0.073,0.03,0.1,0.296,0.21,0.4,995,68,0.0683417085427136,0.296482412060302
1,104,4,"low","rare",100,1000,-7,-3,0.071,0.03,0.1,0.298,0.21,0.4,995,66,0.0663316582914573,0.298492462311558
1,105,4,"low","rare",100,1000,-7,-3,0.072,0.03,0.1,0.282,0.21,0.34,993,65,0.0654582074521652,0.281973816717019
1,106,4,"low","rare",100,1000,-7,-3,0.079,0.05,0.1,0.293,0.24,0.34,992,71,0.0715725806451613,0.293346774193548
1,107,4,"low","rare",100,1000,-7,-3,0.082,0.05,0.1,0.283,0.22,0.34,992,74,0.0745967741935484,0.282258064516129
1,108,4,"low","rare",100,1000,-7,-3,0.083,0.05,0.1,0.281,0.22,0.32,991,74,0.0746720484359233,0.278506559031282
1,109,4,"low","rare",100,1000,-7,-3,0.082,0.05,0.1,0.28,0.22,0.32,989,71,0.0717896865520728,0.278058645096057
1,110,4,"low","rare",100,1000,-7,-3,0.079,0.05,0.1,0.281,0.22,0.32,990,69,0.0696969696969697,0.278787878787879
1,111,4,"low","rare",100,1000,-7,-3,0.081,0.06,0.1,0.279,0.22,0.32,990,71,0.0717171717171717,0.276767676767677
1,112,4,"low","rare",100,1000,-7,-3,0.074,0.03,0.1,0.271,0.22,0.32,991,65,0.065590312815338,0.268415741675076
1,113,4,"low","rare",100,1000,-7,-3,0.073,0.03,0.1,0.268,0.22,0.32,990,63,0.0636363636363636,0.264646464646465
1,114,4,"low","rare",100,1000,-7,-3,0.073,0.03,0.1,0.271,0.22,0.32,990,63,0.0636363636363636,0.267676767676768
1,115,4,"low","rare",100,1000,-7,-3,0.069,0.03,0.1,0.283,0.22,0.36,990,59,0.0595959595959596,0.278787878787879
1,116,4,"low","rare",100,1000,-7,-3,0.063,0.03,0.1,0.276,0.22,0.36,991,54,0.0544904137235116,0.271442986881937
1,117,4,"low","rare",100,1000,-7,-3,0.061,0.03,0.09,0.273,0.19,0.36,990,51,0.0515151515151515,0.268686868686869
1,118,4,"low","rare",100,1000,-7,-3,0.058,0.03,0.09,0.264,0.19,0.36,991,49,0.0494450050454087,0.260343087790111
1,119,4,"low","rare",100,1000,-7,-3,0.059,0.03,0.1,0.265,0.19,0.36,993,52,0.0523665659617321,0.260825780463243
1,120,4,"low","rare",100,1000,-7,-3,0.057,0.03,0.1,0.26,0.19,0.36,993,50,0.0503524672708963,0.256797583081571
1,121,4,"low","rare",100,1000,-7,-3,0.054,0.03,0.1,0.263,0.19,0.36,993,47,0.0473313192346425,0.259818731117825
1,122,4,"low","rare",100,1000,-7,-3,0.06,0.04,0.1,0.271,0.19,0.36,990,50,0.0505050505050505,0.268686868686869
1,123,4,"low","rare",100,1000,-7,-3,0.066,0.04,0.11,0.282,0.19,0.36,991,57,0.0575176589303734,0.280524722502523
1,124,4,"low","rare",100,1000,-7,-3,0.069,0.04,0.11,0.279,0.19,0.36,990,59,0.0595959595959596,0.277777777777778
1,125,4,"low","rare",100,1000,-7,-3,0.07,0.04,0.11,0.273,0.19,0.35,992,62,0.0625,0.273185483870968
1,126,4,"low","rare",100,1000,-7,-3,0.074,0.04,0.11,0.277,0.19,0.35,991,65,0.065590312815338,0.277497477295661
1,127,4,"low","rare",100,1000,-7,-3,0.068,0.02,0.11,0.284,0.23,0.35,992,60,0.0604838709677419,0.285282258064516
1,128,4,"low","rare",100,1000,-7,-3,0.071,0.02,0.11,0.29,0.25,0.35,991,62,0.0625630676084763,0.291624621594349
1,129,4,"low","rare",100,1000,-7,-3,0.066,0.02,0.11,0.292,0.25,0.35,989,55,0.0556117290192113,0.29221435793731
1,130,4,"low","rare",100,1000,-7,-3,0.069,0.02,0.11,0.298,0.26,0.35,989,58,0.0586450960566229,0.298281092012133
1,131,4,"low","rare",100,1000,-7,-3,0.073,0.02,0.11,0.299,0.26,0.35,988,61,0.0617408906882591,0.298582995951417
1,132,4,"low","rare",100,1000,-7,-3,0.073,0.02,0.11,0.287,0.18,0.35,989,62,0.0626895854398382,0.28412537917088
1,133,4,"low","rare",100,1000,-7,-3,0.071,0.02,0.09,0.271,0.18,0.31,988,59,0.0597165991902834,0.267206477732794
1,134,4,"low","rare",100,1000,-7,-3,0.069,0.02,0.09,0.271,0.18,0.31,988,57,0.0576923076923077,0.266194331983806
1,135,4,"low","rare",100,1000,-7,-3,0.072,0.02,0.09,0.271,0.18,0.31,987,59,0.0597771023302938,0.265450861195542
1,136,4,"low","rare",100,1000,-7,-3,0.074,0.02,0.1,0.272,0.18,0.31,988,62,0.062753036437247,0.266194331983806
1,137,4,"low","rare",100,1000,-7,-3,0.082,0.05,0.1,0.283,0.18,0.37,988,70,0.0708502024291498,0.276315789473684
1,138,4,"low","rare",100,1000,-7,-3,0.083,0.05,0.1,0.278,0.18,0.37,988,71,0.0718623481781376,0.271255060728745
1,139,4,"low","rare",100,1000,-7,-3,0.087,0.07,0.1,0.269,0.18,0.37,988,75,0.0759109311740891,0.263157894736842
1,140,4,"low","rare",100,1000,-7,-3,0.082,0.02,0.1,0.268,0.18,0.37,989,71,0.0717896865520728,0.261880687563195
1,141,4,"low","rare",100,1000,-7,-3,0.084,0.02,0.1,0.266,0.18,0.37,989,73,0.0738119312436805,0.259858442871587
1,142,4,"low","rare",100,1000,-7,-3,0.086,0.02,0.11,0.274,0.19,0.37,989,75,0.0758341759352882,0.268958543983822
1,143,4,"low","rare",100,1000,-7,-3,0.084,0.02,0.11,0.277,0.21,0.37,988,72,0.0728744939271255,0.273279352226721
