"analysis","n_arm1","n_arm0","weight_sum_arm1","weight_sum_arm0","ess_arm1","ess_arm0","scenario","conf_mult","iteration","seed"
"After weighting",486,1238,522.85355665997,935.371155748979,167.574018343787,1010.18284766949,"strong",1.5,8,210026
"Before weighting",500,1210,500,1210,500,1210,"strong",1.5,9,211026
"After weighting",500,1210,695.080201185237,931.909487523847,99.1275115624308,1009.42912838873,"strong",1.5,9,211026
"Before weighting",468,1249,468,1249,468,1249,"strong",1.5,10,212026
"After weighting",468,1249,809.671076435125,1014.46023810748,20.1276800769927,183.049794551666,"strong",1.5,10,212026
"Before weighting",455,1243,455,1243,455,1243,"strong",1.5,11,213026
"After weighting",455,1243,701.764604279087,980.290145845632,51.083693421565,1058.32962269258,"strong",1.5,11,213026
"Before weighting",494,1226,494,1226,494,1226,"strong",1.5,12,214026
"After weighting",494,1226,917.484134075149,963.187718514998,31.4250833799739,822.35501418736,"strong",1.5,12,214026
"Before weighting",483,1225,483,1225,483,1225,"strong",1.5,13,215026
"After weighting",483,1225,634.869306137372,956.837432868811,109.509118432057,936.520122365134,"strong",1.5,13,215026
"Before weighting",472,1246,472,1246,472,1246,"strong",1.5,14,216026
"After weighting",472,1246,644.295954355797,941.920427309718,59.2920125423732,1093.09780093626,"strong",1.5,14,216026
"Before weighting",489,1270,489,1270,489,1270,"strong",1.5,15,217026
"After weighting",489,1270,874.144870555724,962.479830009092,32.9467773199727,1032.35273790874,"strong",1.5,15,217026
"Before weighting",519,1250,519,1250,519,1250,"strong",1.5,16,218026
"After weighting",519,1250,924.151652640239,977.861057868265,26.4160645488164,740.360985735035,"strong",1.5,16,218026
"Before weighting",497,1210,497,1210,497,1210,"strong",1.5,17,219026
"After weighting",497,1210,665.504983392324,939.429300514385,112.476751524766,829.446472492902,"strong",1.5,17,219026
"Before weighting",464,1283,464,1283,464,1283,"strong",1.5,18,220026
"After weighting",464,1283,655.708224468763,1009.21113494008,53.6829225843354,1037.47923798678,"strong",1.5,18,220026
"Before weighting",464,1228,464,1228,464,1228,"strong",1.5,19,221026
"After weighting",464,1228,838.826649624462,970.913829901443,31.7054182808881,890.385593103499,"strong",1.5,19,221026
"Before weighting",515,1234,515,1234,515,1234,"strong",1.5,20,222026
"After weighting",515,1234,675.570523208203,963.598352367797,88.4028340401503,477.844463383469,"strong",1.5,20,222026
