"scenario","conf_mult","iteration","seed","covariate","covariate_label","n_arm1","n_arm0","smd_before","smd_after","abs_smd_before","abs_smd_after","weight_sum_arm1_before","weight_sum_arm1_after","weight_sum_arm0_before","weight_sum_arm0_after","ess_arm1_before","ess_arm1_after","ess_arm0_before","ess_arm0_after"
"small",0.5,4,6026,"L1","L1 at tau=5",378,1265,0.40531306379705,0.0839269278761609,0.40531306379705,0.0839269278761609,378,491.46311847615,1265,1150.24737046251,378,265.63170614165,1265,1250.23461207951
"small",0.5,4,6026,"L2","L2 at tau=5",378,1265,0.421267104027287,0.12122468187638,0.421267104027287,0.12122468187638,378,491.46311847615,1265,1150.24737046251,378,265.63170614165,1265,1250.23461207951
"small",0.5,4,6026,"L1lag","L1 at tau-1=4",378,1265,0.400690944818233,0.0419030085052743,0.400690944818233,0.0419030085052743,378,491.46311847615,1265,1150.24737046251,378,265.63170614165,1265,1250.23461207951
"small",0.5,4,6026,"L2lag","L2 at tau-1=4",378,1265,0.409135252877431,0.122535780496952,0.409135252877431,0.122535780496952,378,491.46311847615,1265,1150.24737046251,378,265.63170614165,1265,1250.23461207951
"small",0.5,5,7026,"x1","Baseline x1",349,1249,0.58699636232255,-0.0300759391238509,0.58699636232255,0.0300759391238509,349,459.768338897889,1249,1149.04541913135,349,197.154085266507,1249,1229.20514424746
"small",0.5,5,7026,"L1","L1 at tau=5",349,1249,0.446712968849084,0.058655471116269,0.446712968849084,0.058655471116269,349,459.768338897889,1249,1149.04541913135,349,197.154085266507,1249,1229.20514424746
"small",0.5,5,7026,"L2","L2 at tau=5",349,1249,0.38359569299519,0.038652756177088,0.38359569299519,0.038652756177088,349,459.768338897889,1249,1149.04541913135,349,197.154085266507,1249,1229.20514424746
"small",0.5,5,7026,"L1lag","L1 at tau-1=4",349,1249,0.41445527070433,0.049370193514913,0.41445527070433,0.049370193514913,349,459.768338897889,1249,1149.04541913135,349,197.154085266507,1249,1229.20514424746
"small",0.5,5,7026,"L2lag","L2 at tau-1=4",349,1249,0.400278329231978,0.0137858264218519,0.400278329231978,0.0137858264218519,349,459.768338897889,1249,1149.04541913135,349,197.154085266507,1249,1229.20514424746
"small",0.5,6,8026,"x1","Baseline x1",367,1260,0.568583807041716,-0.0610542762815078,0.568583807041716,0.0610542762815078,367,509.851983526675,1260,1149.87050226708,367,235.952015084259,1260,1241.14642510937
"small",0.5,6,8026,"L1","L1 at tau=5",367,1260,0.274756121958177,-0.111825437275059,0.274756121958177,0.111825437275059,367,509.851983526675,1260,1149.87050226708,367,235.952015084259,1260,1241.14642510937
"small",0.5,6,8026,"L2","L2 at tau=5",367,1260,0.431568904485526,0.112439049410181,0.431568904485526,0.112439049410181,367,509.851983526675,1260,1149.87050226708,367,235.952015084259,1260,1241.14642510937
"small",0.5,6,8026,"L1lag","L1 at tau-1=4",367,1260,0.320542345447755,-0.0376718057659231,0.320542345447755,0.0376718057659231,367,509.851983526675,1260,1149.87050226708,367,235.952015084259,1260,1241.14642510937
