"method","estimand","tau","beta_trt","heterogeneity","patient_mix","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",15,-0.5,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0350609680589282,-0.0389312502125132,0.0354112623289996,0.00387028215358505,0.0353764519034575,0.94,100
"Pooled CCW","RD",5,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0714034783070865,-0.0892041029227946,0.0843092736778758,0.0178006246157081,0.0828238449012351,0.8,100
"Pooled CCW","RD",10,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0766839433485647,-0.0803360220275148,0.0542946382311679,0.00365207867895011,0.0544445790121873,0.96,100
"Pooled CCW","RD",15,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0609235510199617,-0.0720276999771671,0.0501374630327365,0.0111041489572054,0.0491386728246181,0.85,100
"Pooled CCW","RD",5,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0507061534527689,-0.0584512946296867,0.0824515481379878,0.0077451411769178,0.082500508590416,0.85,100
"Pooled CCW","RD",10,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.054948011391323,-0.0523499901509646,0.0579828112538612,-0.00259802124035834,0.0582163908896602,0.91,100
"Pooled CCW","RD",15,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0370577310615591,-0.0471029198375579,0.0514200169018517,0.0100451887759987,0.0506833337881404,0.89,100
"Pooled CCW","RD",5,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0455358954862657,-0.0411241958370495,0.0796438283802282,-0.00441169964921617,0.0799221610287119,0.91,100
"Pooled CCW","RD",10,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.027216055083478,-0.0380586440948029,0.0591297110926931,0.0108425890113249,0.0584199443375365,0.89,100
"Pooled CCW","RD",15,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.036761287772336,-0.0334239031940955,0.0530343207997903,-0.00333738457824049,0.053195855451759,0.9,100
"Pooled CCW","RD",5,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.120867027901588,-0.120996609283777,0.042107239626802,0.000129581382188782,0.0423191677284251,0.94,100
"Pooled CCW","RD",10,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0982839050623196,-0.0960392060887807,0.0327789262167102,-0.00224469897353895,0.0328667239909563,0.94,100
"Pooled CCW","RD",15,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0842742765986017,-0.082544843501617,0.0297084815348247,-0.00172943309698478,0.0298075127176387,0.92,100
"Pooled CCW","RD",5,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.08595099238102,-0.0833391550101804,0.0520310275400384,-0.00261183737083963,0.0522272243378961,0.9,100
"Pooled CCW","RD",10,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0624079116780767,-0.067494019095338,0.0308653376658628,0.00508610741726131,0.030596767845538,0.93,100
"Pooled CCW","RD",15,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0537651716939781,-0.0568591814129458,0.0247605472976828,0.00309400971896771,0.0246902386621036,0.91,100
"Pooled CCW","RD",5,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0556448960428301,-0.0582737841009684,0.0577184038339113,0.00262888805813824,0.0579489769365445,0.85,100
"Pooled CCW","RD",10,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.044587640915459,-0.0458568191634134,0.0398338714586129,0.00126917824795446,0.0400142209815942,0.89,100
"Pooled CCW","RD",15,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0365982464404358,-0.0402042754446026,0.0346581431060351,0.00360602900416677,0.0346436904975847,0.91,100
"Pooled CCW","RD",5,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.113276918774433,-0.11540739373497,0.0526915283595181,0.00213047496053666,0.0529136731418071,0.92,100
"Pooled CCW","RD",10,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0861467317400415,-0.0928265910673114,0.042424927844692,0.00667985932726992,0.0421068144152129,0.87,100
"Pooled CCW","RD",15,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0781111627863338,-0.0805692223320915,0.0334964135163712,0.00245805954575775,0.0335743959342945,0.94,100
"Pooled CCW","RD",5,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0816011814108062,-0.0807520636091489,0.0622932369600927,-0.000849117801657351,0.0626012422015485,0.87,100
"Pooled CCW","RD",10,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0693244996240832,-0.0655723696456074,0.0517599440850439,-0.00375212997847577,0.051883838128077,0.94,100
"Pooled CCW","RD",15,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0562316476085868,-0.0565264236864906,0.0368238344358566,0.000294776077903829,0.037008160301647,0.93,100
"Pooled CCW","RD",5,-0.5,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0563766368286744,-0.0565825298684021,0.0580989482427051,0.000205893039727634,0.0583912733462344,0.88,100
"Pooled CCW","RD",10,-0.5,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0388234449243359,-0.0439844545757733,0.0488173110367922,0.00516100965143732,0.0487882855230999,0.86,100
"Pooled CCW","RD",15,-0.5,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.034014814718198,-0.0389312502125132,0.0346512618039087,0.00491643549431516,0.0344735091770926,0.92,100
"Federated landmark IPW","RD",5,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.144635237079338,-0.0892041029227946,0.100952119573747,-0.0554311341565437,0.0847975593592419,NA,100
"Federated landmark IPW","RD",10,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.133335112263808,-0.0803360220275148,0.0936383746246602,-0.0529990902362931,0.0775850243051959,NA,100
"Federated landmark IPW","RD",15,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.105955023698174,-0.0720276999771671,0.0599206570679424,-0.0339273237210071,0.0496393238603943,NA,100
