"task_id","rep","estimand","fragmentation","initiation","n_sites","n_per_site","empty_g1_at_tstar","truth","fed_estimate","fed_bias","local_estimate","local_bias","local_minus_fed","absolute_bias_gap","empty_g1_fraction"
1,44,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0985014054344735,-0.00949523905042227,-0.0986470008614471,-0.00964083447739583,-0.000145595426973566,0.000145595426973566,0
1,44,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.02503462222027,0.0974651436409957,2.02864894677911,0.101079468199831,0.00361432455883559,0.00361432455883559,0
1,45,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0981178722095957,-0.00911170582554444,-0.0982570401751028,-0.00925087379105161,-0.00013916796550717,0.00013916796550717,0
1,45,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.00156423630911,0.0739947577298388,2.00340034787178,0.0758308692925027,0.00183611156266394,0.00183611156266394,0
1,46,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0967100157709515,-0.00770384938690027,-0.096888534782855,-0.00788236839880374,-0.000178519011903466,0.000178519011903466,0
1,46,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,2.001289333017,0.0737198544377282,2.00297421427232,0.0754047356930432,0.00168488125531496,0.00168488125531496,0
1,47,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0927781878038959,-0.00377202141984467,-0.0930020013014791,-0.00399583491742783,-0.000223813497583158,0.000223813497583158,0
1,47,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.90078708955013,-0.0267823890291421,1.90384640820569,-0.0237230703735793,0.00305931865556275,-0.00305931865556275,0
1,48,"RD","10_sites_x_500","moderate",10,500,0,-0.0890061663840512,-0.0887243226824621,0.000281843701589124,-0.0888663474989473,0.000139818885103948,-0.000142024816485176,-0.000142024816485176,0
1,48,"RMST_diff","10_sites_x_500","moderate",10,500,0,1.92756947857927,1.84980703633271,-0.0777624422465593,1.85106463175861,-0.0765048468206651,0.00125759542589421,-0.00125759542589421,0
