"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",3,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.124705673087166,-0.0973733428414895,0.178789722135672,-0.0273323302456765,0.17757828964779,0.76,100
"Federated CCW","RD",6,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0815063758790909,-0.0850755560904202,0.0816469895708392,0.00356918021132929,0.0819798685475312,0.86,100
"Federated CCW","RD",9,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0830977935384735,-0.0732213723376015,0.0757768921950587,-0.00987642120087203,0.0755090047142316,0.89,100
"Federated CCW","RD",3,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0554427050448375,-0.0665056112907388,0.108909182008432,0.0110629062459013,0.108891670898424,0.69,100
"Federated CCW","RD",6,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0660679557611281,-0.0595574571296151,0.0933932000299435,-0.00651049863151299,0.0936353512808976,0.86,100
"Federated CCW","RD",9,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0325987532860943,-0.0503766543423977,0.0693056012149921,0.0177779010563034,0.0673241262367303,0.78,100
"Pooled CCW","RD",3,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.125425997279783,-0.144325121699538,0.0682363459950424,0.0188991244197552,0.0658972417911291,0.87,100
"Pooled CCW","RD",6,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.100532560990361,-0.11753671793992,0.0450466441764751,0.0170041569495592,0.0419241594965437,0.94,100
"Pooled CCW","RD",9,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.100106242643998,-0.104305359560479,0.0413950015893624,0.00419911691648125,0.0413889358868221,0.94,100
"Pooled CCW","RD",3,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.110205639016067,-0.0957341062643613,0.106995833550021,-0.0144715327517054,0.106546727724355,0.88,100
"Pooled CCW","RD",6,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.076387800374798,-0.0793266057246547,0.0505881900988954,0.00293880534985669,0.050757179922992,0.89,100
"Pooled CCW","RD",9,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0660360725309323,-0.0709487004451346,0.0414057622212286,0.00491262791420228,0.0413204187069627,0.92,100
"Pooled CCW","RD",3,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0368921579887788,-0.0662533898107849,0.0758043932807959,0.0293612318220061,0.0702393031258141,0.8,100
"Pooled CCW","RD",6,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.062402554875217,-0.0551771959607568,0.049846279702672,-0.00722535891446027,0.0495682957971787,0.96,100
"Pooled CCW","RD",9,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0527269958199156,-0.0497459016528424,0.0387573122918031,-0.00298109416707313,0.0388371676303366,0.98,100
"Pooled CCW","RD",3,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.119914968690631,-0.142331830961643,0.0640713999190179,0.0224168622710119,0.0603242800298219,0.78,100
"Pooled CCW","RD",6,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.131819572647239,-0.114197883183271,0.0404488626432167,-0.0176216894639676,0.0365920252608711,0.93,100
"Pooled CCW","RD",9,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0998224094079345,-0.0997926805482521,0.0256285431323488,-2.97288596824052e-05,0.0257576376685481,0.98,100
"Pooled CCW","RD",3,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0875980087198757,-0.0945497549345045,0.0445622881582319,0.00695174621462874,0.044238457953296,0.98,100
"Pooled CCW","RD",6,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0858800694806355,-0.0771062167818387,0.0347246947756171,-0.00877385269879681,0.0337672355703008,0.97,100
"Pooled CCW","RD",9,-0.7,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0636850444210951,-0.0680797510179275,0.0273179663177996,0.00439470659683242,0.0270979860161136,0.96,100
"Pooled CCW","RD",3,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0798524214554301,-0.0652419226450364,0.0529045076393576,-0.0146104988103937,0.0511031859003525,0.95,100
"Pooled CCW","RD",6,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0363052007251745,-0.0537208970116081,0.034424537063581,0.0174156962864336,0.0298437390842003,0.93,100
"Pooled CCW","RD",9,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0529947246327313,-0.0477480204468972,0.0309023139595162,-0.00524670418583413,0.0306070748941255,0.96,100
