"method","estimand","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","tau","t_star","beta_trt","conf_mult","truncation","mean_est","median_est","truth","mean_bias","median_bias","emp_sd","rmse","coverage","mean_init_rate","mean_death_rate","mean_zero_initiation_sites","mean_empty_g1_at_tstar","mean_empty_g1_fraction","mean_fit_warning_count","n_reps"
"fed_ccw_tvipcw","RMST0","10_sites_x_500","sparse",-4.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",9.54272360869363,9.53510065987108,9.54485486425234,-0.00213125555870478,-0.00975420438125862,0.127404413017264,0.127209749724654,NA,0.03616,0.844415333333333,0,0.0333333333333333,0.00333333333333333,0,300
"fed_ccw_tvipcw","RMST0","20_sites_x_250","moderate",-2.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",9.53682977703667,9.54524721044922,9.54552802446171,-0.00869824742504281,-0.000280814012485919,0.111632096989615,0.111784817855431,NA,0.228116666666667,0.81962,0,0,0,0,300
"fed_ccw_tvipcw","RMST0","20_sites_x_250","sparse",-4.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",9.52022911946244,9.53602988454948,9.54485486425234,-0.0246257447898959,-0.00882497970285812,0.122275719003373,0.124530883422773,NA,0.0362633333333333,0.845374666666667,0,1.09666666666667,0.0548333333333333,0,300
"fed_ccw_tvipcw","RMST0","50_sites_x_100","moderate",-2.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",9.48888156590105,9.53841171540198,9.54552802446171,-0.0566464585606627,-0.00711630905973415,0.15149624449166,0.161503652143096,NA,0.228278,0.82203,0,0,0,0,300
"fed_ccw_tvipcw","RMST0","50_sites_x_100","sparse",-4.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",9.49402614876139,9.49251238006345,9.54485486425234,-0.0508287154909482,-0.0523424841888875,0.0854898792624899,0.0993363782471145,NA,0.0361506666666667,0.845652,1.32333333333333,16.3766666666667,0.327533333333333,4.06,300
"fed_ccw_tvipcw","RMST1","100_sites_x_50","moderate",-2.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",11.1968629272471,11.197158895579,11.473097503041,-0.276234575793858,-0.275938607461975,0.13102095023225,0.305638362501244,NA,0.225412,0.823667333333333,0,1.58,0.0158,0,300
"fed_ccw_tvipcw","RMST1","100_sites_x_50","sparse",-4.5,100,50,5000,4,25,-0.7,0,"0.001/0.999",11.7000497490637,11.7366084209496,11.2866192035682,0.413430545495569,0.449989217381471,1.0404519143708,1.11796982731179,NA,0.035266,0.848106666666667,18.0333333333333,57.85,0.5785,61.2866666666667,300
"fed_ccw_tvipcw","RMST1","10_sites_x_500","moderate",-2.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",11.4862845365668,11.4853463918036,11.473097503041,0.013187033525772,0.0122488887625742,0.18327561100736,0.183444490090864,NA,0.228105333333333,0.819213333333333,0,0,0,0,300
"fed_ccw_tvipcw","RMST1","10_sites_x_500","sparse",-4.5,10,500,5000,4,25,-0.7,0,"0.001/0.999",11.1868776782598,11.2056227507663,11.2866192035682,-0.0997415253083754,-0.0809964528018536,0.488941813853978,0.498212393343652,NA,0.03616,0.844415333333333,0,0.0333333333333333,0.00333333333333333,0,300
"fed_ccw_tvipcw","RMST1","20_sites_x_250","moderate",-2.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",11.4521600165238,11.4617785942391,11.473097503041,-0.0209374865171777,-0.0113189088018366,0.208103150085607,0.208808388274094,NA,0.228116666666667,0.81962,0,0,0,0,300
"fed_ccw_tvipcw","RMST1","20_sites_x_250","sparse",-4.5,20,250,5000,4,25,-0.7,0,"0.001/0.999",11.2140011830475,11.023626674008,11.2866192035682,-0.0726180205206187,-0.262992529560213,0.721738582545169,0.72418478523569,NA,0.0362633333333333,0.845374666666667,0,1.09666666666667,0.0548333333333333,0,300
"fed_ccw_tvipcw","RMST1","50_sites_x_100","moderate",-2.5,50,100,5000,4,25,-0.7,0,"0.001/0.999",11.4201816845924,11.3974409273373,11.473097503041,-0.0529158184486047,-0.0756565757036691,0.175738294252824,0.18325142677595,NA,0.228278,0.82203,0,0,0,0,300
