"task_id","rep","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","observed_init_rate","observed_death_rate","zero_initiation_sites","mean_initiators_per_site","min_initiators_per_site","max_initiators_per_site","empty_g1_at_tau","empty_g1_at_tstar","empty_g0_at_tstar","any_post_tau_empty_g1","fit_warning_count"
1,69,"10_sites_x_500","moderate",-2.5,10,500,5000,0.231,0.8206,0,115.5,105,143,0,0,0,0,0
1,70,"10_sites_x_500","moderate",-2.5,10,500,5000,0.228,0.824,0,114,100,143,0,0,0,0,0
1,71,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2272,0.8252,0,113.6,100,143,0,0,0,0,0
1,72,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2298,0.8202,0,114.9,100,143,0,0,0,0,0
1,73,"10_sites_x_500","moderate",-2.5,10,500,5000,0.231,0.821,0,115.5,100,143,0,0,0,0,0
1,74,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2248,0.821,0,112.4,100,122,0,0,0,0,0
1,75,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2226,0.821,0,111.3,100,120,0,0,0,0,0
1,76,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2188,0.823,0,109.4,98,120,0,0,0,0,0
1,77,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2176,0.8208,0,108.8,98,120,0,0,0,0,0
1,78,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2206,0.8216,0,110.3,98,124,0,0,0,0,0
1,79,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2204,0.8186,0,110.2,98,124,0,0,0,0,0
1,80,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2226,0.82,0,111.3,98,124,0,0,0,0,0
1,81,"10_sites_x_500","moderate",-2.5,10,500,5000,0.225,0.8198,0,112.5,98,124,0,0,0,0,0
1,82,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2248,0.8206,0,112.4,98,124,0,0,0,0,0
1,83,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2196,0.819,0,109.8,93,124,0,0,0,0,0
1,84,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2174,0.8152,0,108.7,93,124,0,0,0,0,0
1,85,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2204,0.8148,0,110.2,93,126,0,0,0,0,0
1,86,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2246,0.8134,0,112.3,93,126,0,0,0,0,0
1,87,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2294,0.816,0,114.7,93,126,0,0,0,0,0
1,88,"10_sites_x_500","moderate",-2.5,10,500,5000,0.227,0.8182,0,113.5,93,126,0,0,0,0,0
1,89,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2272,0.8226,0,113.6,93,126,0,0,0,0,0
1,90,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2284,0.8186,0,114.2,93,126,0,0,0,0,0
1,91,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2292,0.8186,0,114.6,93,126,0,0,0,0,0
1,92,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2272,0.8246,0,113.6,93,126,0,0,0,0,0
1,93,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2318,0.8246,0,115.9,101,126,0,0,0,0,0
