"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated IPW (no cloning)","RD",5,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0465137291200071,-0.0611565510217956,0.0146428219017885,0.0193787487975841,0.0146428219017885,NA,100
"Federated IPW (no cloning)","RD",8,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.026469617130047,-0.0568697996070544,0.0304001824770074,0.0151241521931564,0.0304001824770074,NA,100
"Federated IPW (no cloning)","RD",2,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.131150390814367,-0.16800051272222,0.036850121907853,0.0758909214729637,0.036850121907853,NA,100
"Federated IPW (no cloning)","RD",5,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.075206000439003,-0.135925890482634,0.0607198900436315,0.0637797285334897,0.0607198900436315,NA,100
"Federated IPW (no cloning)","RD",8,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0500556479038912,-0.121867323139782,0.0718116752358908,0.0936519010861128,0.0718116752358908,NA,100
"Federated IPW (no cloning)","RD",2,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0854640637323704,-0.111365398329922,0.0259013345975512,0.0768471048253518,0.0259013345975512,NA,100
"Federated IPW (no cloning)","RD",5,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0402851588367673,-0.0901105428272962,0.049825383990529,0.0741984584997352,0.049825383990529,NA,100
"Federated IPW (no cloning)","RD",8,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.0126690953452204,-0.0798339717208472,0.0925030670660675,0.0717044862392088,0.0925030670660675,NA,100
"Federated IPW (no cloning)","RD",2,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",-0.0615234726903247,-0.0764641151528218,0.0149406424624971,0.0867905420273695,0.0149406424624971,NA,100
"Federated IPW (no cloning)","RD",5,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.000855974777133416,-0.0610174617432336,0.061873436520367,0.0789922283369346,0.061873436520367,NA,100
"Federated IPW (no cloning)","RD",8,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.0425652035459418,-0.0530004391749477,0.0955656427208895,0.0632325268967832,0.0955656427208895,NA,100
"Federated per-protocol (unweighted)","RD",2,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.0263326806202057,-0.159226270202059,0.185558950822264,0.0159250894942143,0.185558950822264,NA,100
"Federated per-protocol (unweighted)","RD",5,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.0680324535333241,-0.132377150030311,0.200409603563635,0.0136472637896847,0.200409603563635,NA,100
"Federated per-protocol (unweighted)","RD",8,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.0933543322772968,-0.121308991608462,0.214663323885759,0.0179229216001576,0.214663323885759,NA,100
"Federated per-protocol (unweighted)","RD",2,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.0687721539286809,-0.104543601071603,0.173315755000283,0.013944031988931,0.173315755000283,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.105923174943532,-0.0886284580213903,0.194551632964922,0.0163213269310518,0.194551632964922,NA,100
"Federated per-protocol (unweighted)","RD",8,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.132284646742941,-0.0815980666420782,0.21388271338502,0.0145384779524215,0.21388271338502,NA,100
"Federated per-protocol (unweighted)","RD",2,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.0930659020375615,-0.071399278594779,0.16446518063234,0.013694520458438,0.16446518063234,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.132729611073331,-0.0609944577766914,0.193724068850023,0.0141142387971006,0.193724068850023,NA,100
"Federated per-protocol (unweighted)","RD",8,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",0.156879736319063,-0.056344979038305,0.213224715357368,0.0164511991345173,0.213224715357368,NA,100
"Federated per-protocol (unweighted)","RD",2,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0698374156916716,-0.15957236592368,0.089734950232008,0.0177201443798714,0.089734950232008,NA,100
"Federated per-protocol (unweighted)","RD",5,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0392806615745689,-0.1310527983408,0.0917721367662314,0.0149569157459393,0.0917721367662314,NA,100
"Federated per-protocol (unweighted)","RD",8,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0237357555005729,-0.120376375621156,0.0966406201205829,0.0158307084792434,0.0966406201205829,NA,100
"Federated per-protocol (unweighted)","RD",2,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0185986589422972,-0.105547081552456,0.0869484226101592,0.015447688495435,0.0869484226101592,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",0.00227494034398776,-0.088343097379044,0.0906180377230318,0.0133522978415993,0.0906180377230318,NA,100
"Federated per-protocol (unweighted)","RD",8,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",0.0202890003576083,-0.081730114388728,0.102019114746336,0.0144059064325248,0.102019114746336,NA,100
"Federated per-protocol (unweighted)","RD",2,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",0.0144697606187312,-0.0724780601653341,0.0869478207840653,0.01747024791136,0.0869478207840653,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",0.0342101028740909,-0.0611565510217956,0.0953666538958865,0.0137210006498126,0.0953666538958865,NA,100
"Federated per-protocol (unweighted)","RD",8,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",0.0486822750453919,-0.0568697996070544,0.105552074652446,0.0148010722497448,0.105552074652446,NA,100
"Federated per-protocol (unweighted)","RD",2,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.0944230629096228,-0.16800051272222,0.262423575631843,0.0150145644113645,0.262423575631843,NA,100
"Federated per-protocol (unweighted)","RD",5,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.134403831958224,-0.135925890482634,0.270329722440858,0.0148726157323595,0.270329722440858,NA,100
"Federated per-protocol (unweighted)","RD",8,-1,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.16727450907727,-0.121867323139782,0.289141832217052,0.0161439632027186,0.289141832217052,NA,100
"Federated per-protocol (unweighted)","RD",2,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.129477512913025,-0.111365398329922,0.240842911242947,0.0112376554992279,0.240842911242947,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.175854196103224,-0.0901105428272962,0.26596473893052,0.0143125754154229,0.26596473893052,NA,100
"Federated per-protocol (unweighted)","RD",8,-0.7,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.2072243551539,-0.0798339717208472,0.287058326874747,0.0164735823595034,0.287058326874747,NA,100
"Federated per-protocol (unweighted)","RD",2,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.150534817083743,-0.0764641151528218,0.226998932236564,0.0117154893007768,0.226998932236564,NA,100
"Federated per-protocol (unweighted)","RD",5,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.199253106433928,-0.0610174617432336,0.260270568177161,0.0139294839146353,0.260270568177161,NA,100
"Federated per-protocol (unweighted)","RD",8,-0.5,"strong",2,25,"200/800/2000","-4.5/-3/-1.5",0.229465583550282,-0.0530004391749477,0.28246602272523,0.0166208713449191,0.28246602272523,NA,100
"Federated landmark IPW","RD",2,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.209467043098067,-0.159226270202059,-0.0502407728960078,0.0677829871822858,0.0502407728960078,NA,100
"Federated landmark IPW","RD",5,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.213512217720156,-0.132377150030311,-0.0811350676898442,0.0425669951308723,0.0811350676898442,NA,100
