"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Pooled CCW","RD",10,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0438627757994102,-0.0453812617425844,0.0295471650131072,0.0015184859431742,0.0295574237445273,0.94,300
"Pooled CCW","RD",15,-0.5,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0365404760203157,-0.0393941909375625,0.0253927091741705,0.00285371491724676,0.0252740032677654,0.943333333333333,300
"Pooled CCW","RD",5,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.117736391123283,-0.123562384201925,0.0772659031076055,0.00582599307864239,0.077174676481223,0.883333333333333,300
"Pooled CCW","RD",10,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0981566507696034,-0.0979527905280955,0.0689527152807583,-0.000203860241507945,0.0690676227134117,0.88,300
"Pooled CCW","RD",15,-1,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0824766560001195,-0.0881130651555558,0.0602779676421834,0.00563640915543638,0.060114141221685,0.87,300
"Pooled CCW","RD",5,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.068150757999407,-0.0847694490680255,0.0973289997590607,0.0166186910686185,0.096059937921644,0.756666666666667,300
"Pooled CCW","RD",10,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0662247256141522,-0.067709444659072,0.0767556524942963,0.00148471904491982,0.0768695141557298,0.846666666666667,300
"Pooled CCW","RD",15,-0.7,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0552634288530195,-0.0576084658107525,0.0565972272589451,0.00234503695773303,0.0566431085028924,0.873333333333333,300
"Pooled CCW","RD",5,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0420200525056757,-0.0600263039356883,0.0901395061944815,0.0180062514300126,0.0884703084166014,0.76,300
"Pooled CCW","RD",10,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0372551806727563,-0.0481119942026683,0.0646972862788623,0.010856813529912,0.0638864098461942,0.863333333333333,300
"Pooled CCW","RD",15,-0.5,"strong",1.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.02584114021645,-0.0416815054083366,0.0623636116428604,0.0158403651918866,0.0604191287988489,0.82,300
"Federated landmark IPW","RD",5,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.187123741725687,-0.122261951926669,0.108264677831712,-0.0648617897990179,0.0868292563363612,NA,300
