"model","heterogeneity","replicate","tau","site","interval","eligible_n","initiations","observed_initiation_rate","common_numerator_hazard","denominator_mean","denominator_min","denominator_q01","denominator_q05","denominator_q50","denominator_q95","denominator_q99","denominator_max","prop_den_lt_001","prop_den_gt_099","observed_prob_min","observed_prob_q01","observed_prob_q05","prop_observed_prob_lt_001","prop_observed_prob_lt_005"
"Pooled site FE: shared slopes","moderate",3,15,"2",11,295,4,0.0135593220338983,0.0259414225941423,0.0181794408659525,0.000158447431616112,0.000453734240671557,0.000829997667790508,0.0094042680265478,0.0771900043574853,0.122854359075066,0.162903364077678,0.51864406779661,0,0.00223285146272839,0.0583665346206583,0.914460103863401,0.00338983050847458,0.0101694915254237
"Pooled site FE: shared slopes","moderate",3,15,"3",11,247,4,0.0161943319838057,0.0259414225941423,0.0309942893705108,0.000349071729159212,0.000477818684486615,0.00173862782194436,0.0133559223358332,0.104946376303842,0.414268966076376,0.522254021126394,0.388663967611336,0,0.0289025801445355,0.337520522083133,0.891026549691974,0,0.00809716599190283
"Pooled site FE: shared slopes","moderate",3,15,"4",11,206,12,0.058252427184466,0.0259414225941423,0.0383950365326661,0.000303565087787588,0.00122117667935034,0.00244591999867113,0.0191463594833073,0.153280685668827,0.243518877624625,0.336988056915793,0.262135922330097,0,0.00767627992989299,0.0207976111805721,0.129324418474215,0.00485436893203883,0.0194174757281553
"Pooled site FE: shared slopes","moderate",3,15,"5",11,139,7,0.0503597122302158,0.0259414225941423,0.0525703559201927,0.000703488975030106,0.000888672820204547,0.00515547728975374,0.0266308686812865,0.185697019863702,0.413331603651666,0.481281313212352,0.18705035971223,0,0.0449135828164415,0.057853871683658,0.427056383047585,0,0.00719424460431655
"Pooled site FE: shared slopes","moderate",3,15,"Overall",12,1120,22,0.0196428571428571,0.0196428571428571,0.0196428571677169,9.30501818437318e-05,0.000284744830558208,0.00080449995288175,0.00819159271638784,0.0831389188635808,0.15380789116245,0.359978181216963,0.557142857142857,0,0.00355538398654041,0.0343432500484767,0.899988191996413,0.00446428571428571,0.0116071428571429
"Pooled site FE: shared slopes","moderate",3,15,"1",12,297,3,0.0101010101010101,0.0196428571428571,0.00714364375192879,9.72942885593699e-05,0.000189104367469681,0.000425927132836015,0.00352615445306254,0.0303460320693177,0.0535111297138362,0.100808132955871,0.851851851851852,0,0.00355538398654041,0.292515873188389,0.961317842651696,0.00673400673400673,0.0101010101010101
"Pooled site FE: shared slopes","moderate",3,15,"2",12,280,6,0.0214285714285714,0.0196428571428571,0.0162108865997264,9.30501818437318e-05,0.000403808565743235,0.000845944674036733,0.00732063881507105,0.0663393471845029,0.115237026154884,0.127286106972305,0.596428571428571,0,0.00576572866129491,0.025732954519525,0.917304227517558,0.00357142857142857,0.0142857142857143
"Pooled site FE: shared slopes","moderate",3,15,"3",12,234,6,0.0256410256410256,0.0196428571428571,0.0216532435607736,0.000366081470439783,0.000543442412008737,0.00104087470111412,0.0114672785797499,0.071255150066023,0.194811007473208,0.253012084549894,0.444444444444444,0,0.00979877493137336,0.0337799984315773,0.899384199780395,0.00427350427350427,0.0170940170940171
"Pooled site FE: shared slopes","moderate",3,15,"4",12,184,4,0.0217391304347826,0.0196428571428571,0.0322077008331706,0.000198017082580818,0.000860609659228072,0.00183659817024657,0.0152763521712861,0.12211733986196,0.197637822900977,0.359978181216963,0.33695652173913,0,0.0097360029279548,0.0686419109135532,0.85909319019826,0.00543478260869565,0.00543478260869565
"Pooled site FE: shared slopes","moderate",3,15,"5",12,125,3,0.024,0.0196428571428571,0.034769709112578,0.000534000114076364,0.00106688201470994,0.00288691824346372,0.0186751563932423,0.11832050985017,0.171011490940855,0.190619137946368,0.304,0,0.0173792811300699,0.039680697223054,0.862453085928136,0,0.008
"Pooled site FE: shared slopes","moderate",3,15,"Overall",13,1041,24,0.0230547550432277,0.0230547550432277,0.0230547550716642,0.000208174783971338,0.000307252809794363,0.000926639881248111,0.0103570027760474,0.0882153569727707,0.219893268669366,0.38349301069037,0.48895292987512,0,0.00404297250083707,0.0704855604242409,0.890686717677127,0.00192122958693564,0.00672430355427474
"Pooled site FE: shared slopes","moderate",3,15,"1",13,280,2,0.00714285714285714,0.0230547550432277,0.0078002720122367,0.000208174783971338,0.00023371128423993,0.000440184788567736,0.00440110073018121,0.0277437248218332,0.0567816715494689,0.0783487220749757,0.75,0,0.0582909468477418,0.941528101118175,0.972256275178167,0,0
