"model","heterogeneity","tau","site","strategy","interval","replicates","mean_risk_n","mean_weight","mean_q95","mean_q99","median_max","max_across_reps","mean_ess","mean_ess_fraction","p10_ess_fraction","mean_design_effect","mean_prop_weight_gt_10"
"Federated: site-specific slopes","low",10,"1","Do not initiate by tau",10,10,320.8,0.736428129064658,1.08476570472959,1.71140679454558,2.76751703875935,4.29145779624202,295.232479824533,0.919776432263651,0.877738008815277,1.08798248625472,0
"Federated: site-specific slopes","low",10,"1","Initiate by tau",10,10,103.8,1.83233388476526,6.06052211951479,18.7861288944078,20.2744598466098,40.0968186353402,31.0573737834831,0.300839359731313,0.182817743379399,3.62853874211827,0.0230816129882747
"Federated: site-specific slopes","low",10,"2","Do not initiate by tau",10,10,292.2,0.766782933139434,1.1402239186245,1.90772280257657,2.61873712299094,5.9765111435615,260.272662767722,0.890290455463731,0.80286689320209,1.12745064683113,0
"Federated: site-specific slopes","low",10,"2","Initiate by tau",10,10,124.9,1.54724452878698,5.06919224287035,15.9626020513449,14.7051841008158,56.982848224353,42.8277321522266,0.339396326519339,0.167278054401082,3.56639288722543,0.0143533586134498
"Federated: site-specific slopes","low",10,"3","Do not initiate by tau",10,10,266.8,0.792193495455133,1.33048006505568,1.86449332616322,2.87118028758063,4.76070204791265,237.580210945526,0.889092354254243,0.826814970564942,1.12716262204489,0
"Federated: site-specific slopes","low",10,"3","Initiate by tau",10,10,133.8,1.45487480127539,4.7860710016996,13.8872794197734,15.4151682548309,62.1834615687793,40.7273187444202,0.302230794699385,0.13849042642409,3.95914589856323,0.0146477565501782
"Federated: site-specific slopes","low",10,"4","Do not initiate by tau",10,10,242.8,0.85245450042777,1.49311913975246,2.83911983453284,4.69230616423963,13.4682185312741,182.93558199705,0.749969485500524,0.499693360383361,1.39652372477734,0.000849904363203291
"Federated: site-specific slopes","low",10,"4","Initiate by tau",10,10,151.2,1.22444142949398,4.08581351759164,8.81105946007783,10.3596983437013,22.5185172254604,57.8837340157172,0.382205473525478,0.268378261562662,2.73338403746427,0.00537700807173805
"Federated: site-specific slopes","low",10,"5","Do not initiate by tau",10,10,220,0.903036472476007,1.72252806081419,3.38320647340062,4.23767024345568,13.4306651283266,163.392467442965,0.736784103245755,0.483803504384781,1.41736968777738,0.000986523172387047
"Federated: site-specific slopes","low",10,"5","Initiate by tau",10,10,167.1,1.08410123613033,3.53639930683167,9.64255912008765,11.8007612765757,27.573236019017,56.3081334906461,0.338912896532656,0.204239434947178,3.2161201004904,0.00769347611675756
"Federated: site-specific slopes","low",15,"1","Do not initiate by tau",15,10,222.4,0.670427933183753,1.02746859449439,1.68254771425109,2.07328914193156,3.62008095005393,202.251324554004,0.909707867243803,0.84941324056535,1.10077076493388,0
"Federated: site-specific slopes","low",15,"1","Initiate by tau",15,10,88.6,2.19477738565447,8.44788188496456,31.9103136643717,24.2582109106996,139.9614694345,23.0655160352744,0.258356602628697,0.0900410605166095,5.7928305463795,0.0326302959351246
"Federated: site-specific slopes","low",15,"2","Do not initiate by tau",15,10,202.3,0.709705692634754,1.15462140119062,1.90789814319882,2.31926013640438,3.10768386269124,180.992080283703,0.894380079888468,0.845592669207387,1.11950972658201,0
"Federated: site-specific slopes","low",15,"2","Initiate by tau",15,10,107.1,1.53176576910867,5.33384920033976,12.1637216225156,12.999663947407,19.3575139095373,38.4862035489147,0.359932619416472,0.299116584037485,2.82036784008486,0.0160133077730502
"Federated: site-specific slopes","low",15,"3","Do not initiate by tau",15,10,184,0.744407817851987,1.2760832670699,2.27441907445527,3.60909526582847,5.40762456433882,153.518832231307,0.833694620866838,0.766447150185944,1.20360179749837,0
"Federated: site-specific slopes","low",15,"3","Initiate by tau",15,10,118.1,1.41957689688678,4.74305020714802,11.367301527084,12.7215899658087,33.9444467689469,43.4601049762409,0.366873226003837,0.215400606662321,2.94195342254178,0.00836324226088796
"Federated: site-specific slopes","low",15,"4","Do not initiate by tau",15,10,165.2,0.793866669411498,1.39146738509945,2.9144348302088,4.30529559237434,14.6223723099777,122.052320501089,0.739556381680112,0.477300391168412,1.43736743782667,0.000636942675159236
"Federated: site-specific slopes","low",15,"4","Initiate by tau",15,10,121.5,1.26654132352064,3.84901528911334,11.5566114428927,10.9811816547145,40.1443673631426,42.3786216397271,0.348273526855506,0.163554474410197,3.37002706817648,0.00755550553504299
"Federated: site-specific slopes","low",15,"5","Do not initiate by tau",15,10,141.8,0.874075866903322,1.67130964856644,4.86538161783664,6.3255408147151,34.1380535590422,84.1908033340235,0.59102856402798,0.19881394492633,2.35955426703399,0.00144186046511628
"Federated: site-specific slopes","low",15,"5","Initiate by tau",15,10,127.5,1.06813804905851,3.27766051946465,9.90006479893951,13.4750313434055,18.4170885597026,42.6922825615667,0.334852090646541,0.239248337945766,3.14687387835659,0.00772789116435434
"Federated: site-specific slopes","moderate",5,"1","Do not initiate by tau",5,10,427.9,0.692641459677744,0.80496373327311,0.986236395187675,1.31526272752496,1.74087165970788,423.792046069164,0.99035595397808,0.983998880004308,1.00975386760729,0
"Federated: site-specific slopes","moderate",5,"1","Initiate by tau",5,10,34.9,4.5951169164225,19.6032250398844,29.1778410139544,24.5170222831692,68.0677417094815,13.360405313269,0.383663998321735,0.236807089989502,2.78086903724531,0.101107944129744
"Federated: site-specific slopes","moderate",5,"2","Do not initiate by tau",5,10,473.3,0.735645589045149,0.933622986114066,1.32882958154302,2.0921719329395,3.81325126898104,456.068666906313,0.963540870246822,0.932354634714371,1.03823946756214,0
