"heterogeneity","tau","replicate","beta_trt","site","n","initiated_by_tau","initiation_prevalence"
"moderate",5,7,-0.7,3,1000,243,0.243
"moderate",5,7,-0.7,4,1200,431,0.359166666666667
"moderate",5,7,-0.7,5,1400,706,0.504285714285714
"high",5,7,-0.7,1,400,9,0.0225
"high",5,7,-0.7,2,600,45,0.075
"high",5,7,-0.7,3,800,196,0.245
"high",5,7,-0.7,4,1200,616,0.513333333333333
"high",5,7,-0.7,5,2000,1524,0.762
"low",10,7,-0.7,1,900,187,0.207777777777778
"low",10,7,-0.7,2,950,259,0.272631578947368
"low",10,7,-0.7,3,1000,306,0.306
"low",10,7,-0.7,4,1050,351,0.334285714285714
"low",10,7,-0.7,5,1100,457,0.415454545454545
"moderate",10,7,-0.7,1,600,51,0.085
"moderate",10,7,-0.7,2,800,164,0.205
"moderate",10,7,-0.7,3,1000,292,0.292
"moderate",10,7,-0.7,4,1200,503,0.419166666666667
"moderate",10,7,-0.7,5,1400,793,0.566428571428571
"high",10,7,-0.7,1,400,11,0.0275
"high",10,7,-0.7,2,600,66,0.11
"high",10,7,-0.7,3,800,234,0.2925
"high",10,7,-0.7,4,1200,676,0.563333333333333
"high",10,7,-0.7,5,2000,1562,0.781
"low",15,7,-0.7,1,900,210,0.233333333333333
"low",15,7,-0.7,2,950,272,0.286315789473684
"low",15,7,-0.7,3,1000,357,0.357
"low",15,7,-0.7,4,1050,396,0.377142857142857
"low",15,7,-0.7,5,1100,463,0.420909090909091
"moderate",15,7,-0.7,1,600,64,0.106666666666667
"moderate",15,7,-0.7,2,800,163,0.20375
"moderate",15,7,-0.7,3,1000,337,0.337
"moderate",15,7,-0.7,4,1200,577,0.480833333333333
"moderate",15,7,-0.7,5,1400,820,0.585714285714286
"high",15,7,-0.7,1,400,10,0.025
"high",15,7,-0.7,2,600,81,0.135
"high",15,7,-0.7,3,800,263,0.32875
"high",15,7,-0.7,4,1200,684,0.57
"high",15,7,-0.7,5,2000,1541,0.7705
"low",5,8,-0.7,1,900,134,0.148888888888889
"low",5,8,-0.7,2,950,194,0.204210526315789
"low",5,8,-0.7,3,1000,232,0.232
"low",5,8,-0.7,4,1050,305,0.29047619047619
"low",5,8,-0.7,5,1100,364,0.330909090909091
"moderate",5,8,-0.7,1,600,45,0.075
"moderate",5,8,-0.7,2,800,108,0.135
"moderate",5,8,-0.7,3,1000,248,0.248
"moderate",5,8,-0.7,4,1200,410,0.341666666666667
"moderate",5,8,-0.7,5,1400,705,0.503571428571429
"high",5,8,-0.7,1,400,10,0.025
"high",5,8,-0.7,2,600,46,0.0766666666666667
"high",5,8,-0.7,3,800,180,0.225
"high",5,8,-0.7,4,1200,588,0.49
"high",5,8,-0.7,5,2000,1503,0.7515
"low",10,8,-0.7,1,900,212,0.235555555555556
"low",10,8,-0.7,2,950,246,0.258947368421053
"low",10,8,-0.7,3,1000,299,0.299
"low",10,8,-0.7,4,1050,366,0.348571428571429
"low",10,8,-0.7,5,1100,435,0.395454545454545
"moderate",10,8,-0.7,1,600,69,0.115
"moderate",10,8,-0.7,2,800,130,0.1625
"moderate",10,8,-0.7,3,1000,306,0.306
"moderate",10,8,-0.7,4,1200,495,0.4125
"moderate",10,8,-0.7,5,1400,789,0.563571428571429
"high",10,8,-0.7,1,400,8,0.02
"high",10,8,-0.7,2,600,72,0.12
"high",10,8,-0.7,3,800,249,0.31125
"high",10,8,-0.7,4,1200,677,0.564166666666667
"high",10,8,-0.7,5,2000,1570,0.785
"low",15,8,-0.7,1,900,222,0.246666666666667
"low",15,8,-0.7,2,950,286,0.301052631578947
"low",15,8,-0.7,3,1000,329,0.329
"low",15,8,-0.7,4,1050,372,0.354285714285714
"low",15,8,-0.7,5,1100,449,0.408181818181818
"moderate",15,8,-0.7,1,600,74,0.123333333333333
"moderate",15,8,-0.7,2,800,188,0.235
"moderate",15,8,-0.7,3,1000,328,0.328
"moderate",15,8,-0.7,4,1200,564,0.47
"moderate",15,8,-0.7,5,1400,818,0.584285714285714
"high",15,8,-0.7,1,400,14,0.035
"high",15,8,-0.7,2,600,72,0.12
"high",15,8,-0.7,3,800,256,0.32
"high",15,8,-0.7,4,1200,722,0.601666666666667
"high",15,8,-0.7,5,2000,1583,0.7915
"low",5,9,-0.7,1,900,139,0.154444444444444
"low",5,9,-0.7,2,950,185,0.194736842105263
"low",5,9,-0.7,3,1000,231,0.231
"low",5,9,-0.7,4,1050,301,0.286666666666667
"low",5,9,-0.7,5,1100,370,0.336363636363636
"moderate",5,9,-0.7,1,600,45,0.075
"moderate",5,9,-0.7,2,800,107,0.13375
"moderate",5,9,-0.7,3,1000,214,0.214
"moderate",5,9,-0.7,4,1200,429,0.3575
"moderate",5,9,-0.7,5,1400,683,0.487857142857143
"high",5,9,-0.7,1,400,6,0.015
"high",5,9,-0.7,2,600,40,0.0666666666666667
"high",5,9,-0.7,3,800,166,0.2075
"high",5,9,-0.7,4,1200,626,0.521666666666667
"high",5,9,-0.7,5,2000,1509,0.7545
"low",10,9,-0.7,1,900,201,0.223333333333333
"low",10,9,-0.7,2,950,262,0.275789473684211
"low",10,9,-0.7,3,1000,307,0.307
"low",10,9,-0.7,4,1050,336,0.32
"low",10,9,-0.7,5,1100,444,0.403636363636364
"moderate",10,9,-0.7,1,600,70,0.116666666666667
"moderate",10,9,-0.7,2,800,172,0.215
"moderate",10,9,-0.7,3,1000,307,0.307
"moderate",10,9,-0.7,4,1200,517,0.430833333333333
"moderate",10,9,-0.7,5,1400,774,0.552857142857143
"high",10,9,-0.7,1,400,12,0.03
"high",10,9,-0.7,2,600,59,0.0983333333333333
"high",10,9,-0.7,3,800,244,0.305
"high",10,9,-0.7,4,1200,660,0.55
"high",10,9,-0.7,5,2000,1547,0.7735
"low",15,9,-0.7,1,900,233,0.258888888888889
"low",15,9,-0.7,2,950,276,0.290526315789474
"low",15,9,-0.7,3,1000,326,0.326
"low",15,9,-0.7,4,1050,398,0.379047619047619
"low",15,9,-0.7,5,1100,441,0.400909090909091
"moderate",15,9,-0.7,1,600,78,0.13
"moderate",15,9,-0.7,2,800,160,0.2
"moderate",15,9,-0.7,3,1000,304,0.304
"moderate",15,9,-0.7,4,1200,555,0.4625
"moderate",15,9,-0.7,5,1400,801,0.572142857142857
"high",15,9,-0.7,1,400,15,0.0375
"high",15,9,-0.7,2,600,65,0.108333333333333
"high",15,9,-0.7,3,800,266,0.3325
"high",15,9,-0.7,4,1200,700,0.583333333333333
"high",15,9,-0.7,5,2000,1587,0.7935
"low",5,10,-0.7,1,900,154,0.171111111111111
"low",5,10,-0.7,2,950,177,0.186315789473684
"low",5,10,-0.7,3,1000,253,0.253
"low",5,10,-0.7,4,1050,284,0.27047619047619
"low",5,10,-0.7,5,1100,374,0.34
"moderate",5,10,-0.7,1,600,49,0.0816666666666667
"moderate",5,10,-0.7,2,800,106,0.1325
"moderate",5,10,-0.7,3,1000,239,0.239
"moderate",5,10,-0.7,4,1200,423,0.3525
"moderate",5,10,-0.7,5,1400,718,0.512857142857143
"high",5,10,-0.7,1,400,2,0.005
"high",5,10,-0.7,2,600,58,0.0966666666666667
"high",5,10,-0.7,3,800,204,0.255
"high",5,10,-0.7,4,1200,630,0.525
"high",5,10,-0.7,5,2000,1490,0.745
"low",10,10,-0.7,1,900,215,0.238888888888889
"low",10,10,-0.7,2,950,251,0.264210526315789
"low",10,10,-0.7,3,1000,294,0.294
"low",10,10,-0.7,4,1050,344,0.327619047619048
"low",10,10,-0.7,5,1100,423,0.384545454545455
"moderate",10,10,-0.7,1,600,68,0.113333333333333
"moderate",10,10,-0.7,2,800,144,0.18
"moderate",10,10,-0.7,3,1000,279,0.279
"moderate",10,10,-0.7,4,1200,519,0.4325
"moderate",10,10,-0.7,5,1400,803,0.573571428571429
"high",10,10,-0.7,1,400,10,0.025
"high",10,10,-0.7,2,600,60,0.1
"high",10,10,-0.7,3,800,270,0.3375
"high",10,10,-0.7,4,1200,695,0.579166666666667
"high",10,10,-0.7,5,2000,1554,0.777
"low",15,10,-0.7,1,900,208,0.231111111111111
"low",15,10,-0.7,2,950,271,0.285263157894737
"low",15,10,-0.7,3,1000,326,0.326
"low",15,10,-0.7,4,1050,396,0.377142857142857
"low",15,10,-0.7,5,1100,439,0.399090909090909
"moderate",15,10,-0.7,1,600,87,0.145
"moderate",15,10,-0.7,2,800,172,0.215
"moderate",15,10,-0.7,3,1000,334,0.334
"moderate",15,10,-0.7,4,1200,540,0.45
"moderate",15,10,-0.7,5,1400,797,0.569285714285714
"high",15,10,-0.7,1,400,11,0.0275
"high",15,10,-0.7,2,600,77,0.128333333333333
"high",15,10,-0.7,3,800,241,0.30125
"high",15,10,-0.7,4,1200,693,0.5775
"high",15,10,-0.7,5,2000,1558,0.779
