"model","heterogeneity","tau","site","interval","replicates","mean_eligible_n","mean_observed_rate","mean_numerator_hazard","mean_denominator","mean_den_q01","mean_den_q99","mean_observed_prob_q01","min_observed_prob","mean_prop_observed_prob_lt_001","mean_prop_observed_prob_lt_005"
"Pooled site FE: shared slopes","low",5,"5",5,10,436.1,0.0662304459281606,0.0479094223974081,0.065295791221294,0.00127869316544462,0.44076752359501,0.0384913623103735,0.00414003668325009,0.000916525810752643,0.013219470276066
"Pooled site FE: shared slopes","low",5,"Overall",1,10,5000,0.0853,0.0853,0.0853000000000737,0.00242255313838215,0.51593488509101,0.0443644050859757,0.00425115456756946,6e-04,0.01168
"Pooled site FE: shared slopes","low",5,"Overall",2,10,4071.2,0.0786744912662065,0.0786744912662065,0.0786744912664284,0.0014544593255878,0.51212580692893,0.0461595698420318,0.00159970943933545,0.00093319983258738,0.0110530075451416
"Pooled site FE: shared slopes","low",5,"Overall",3,10,3331.1,0.0644149166032893,0.0644149166032893,0.0644149166035487,0.00107324043842309,0.450444770160491,0.0453705896786555,0.00130417760542603,0.00122817401605611,0.0112548358906741
"Pooled site FE: shared slopes","low",5,"Overall",4,10,2804.4,0.0537900878784428,0.0537900878784428,0.0537900878787165,0.000831112091560134,0.387349075829111,0.0392310191537376,0.000694508864592334,0.00185275518596751,0.013363310460098
"Pooled site FE: shared slopes","low",5,"Overall",5,10,2412.9,0.0479094223974081,0.0479094223974081,0.0479094223976739,0.000734977315153781,0.357181712012689,0.0405591677160279,0.00188309119997505,0.00111685668777624,0.0128469050807115
"Pooled site FE: shared slopes","low",10,"1",1,10,900,0.0511111111111111,0.08312,0.0488835610192205,0.00169870597247495,0.319877454106798,0.0358395197222968,0.00353541839668254,0.00111111111111111,0.015
"Pooled site FE: shared slopes","low",10,"1",2,10,778.3,0.0485826475003878,0.0781703404094691,0.047748910183325,0.000999178396914896,0.344001385366286,0.0407206932086892,0.00161265752338564,0.00103359153600665,0.0128555102370619
"Pooled site FE: shared slopes","low",10,"1",3,10,672.5,0.039279524325401,0.068093576400369,0.0425073363551872,0.000722724227245459,0.32228257981622,0.0517755567047256,0.00291282231904968,0.00104646934402395,0.010084199546466
"Pooled site FE: shared slopes","low",10,"1",4,10,589.6,0.0336772338945013,0.0553961588343812,0.0365791394743795,0.000529681157427935,0.27568089401321,0.0461828609801081,0.00300432522624001,0.00134382665064157,0.0117818374316724
"Pooled site FE: shared slopes","low",10,"1",5,10,522.5,0.0308540618848907,0.0469735676750666,0.03223351930295,0.000476248597835126,0.230461877453893,0.0469767969808995,0.00310490139666288,0.00193273462291237,0.0120563980836791
"Pooled site FE: shared slopes","low",10,"1",6,10,470.8,0.0328167751202143,0.0432533852209127,0.0313541786095714,0.000452330356429358,0.255477850412834,0.0375191593030927,0.00101808437258182,0.00254536377702375,0.0135320181872486
"Pooled site FE: shared slopes","low",10,"1",7,10,426.1,0.0302795104660898,0.0378997811041398,0.027944361742196,0.00046075677015669,0.211560508579695,0.0540451318515629,0.00238131192449949,0.0011857471370468,0.0124738702100789
"Pooled site FE: shared slopes","low",10,"1",8,10,387.2,0.023943439154929,0.0336835353507466,0.0247882056020936,0.000362493804398683,0.198944194887822,0.0560722857180376,0.000705560932376758,0.00161177436474568,0.00886603665964051
"Pooled site FE: shared slopes","low",10,"1",9,10,355.1,0.0239799313446965,0.0288325049500883,0.0210328022769797,0.000316534422420309,0.16375914143849,0.045637917097239,0.00378875709040816,0.0027787361081861,0.0139895442846275
"Pooled site FE: shared slopes","low",10,"1",10,10,328.4,0.0231082848236913,0.0302086942841212,0.0226639810476522,0.00037734414155498,0.187339018836562,0.0438168805763475,0.00259891243463574,0.00183542967760686,0.0121646322844773
"Pooled site FE: shared slopes","low",10,"2",1,10,950,0.0561052631578947,0.08312,0.0611227273105511,0.00217683734836058,0.378253673582406,0.0455548113551956,0.00530802878882539,0.000947368421052632,0.0114736842105263
"Pooled site FE: shared slopes","low",10,"2",2,10,802.8,0.0648043627147436,0.0781703404094691,0.0601700035228219,0.001410141141281,0.403894100103029,0.037611118233037,0.00312927246357658,0.000993820270027892,0.0138204086587254
"Pooled site FE: shared slopes","low",10,"2",3,10,673.3,0.0520956465527094,0.068093576400369,0.0532580381689058,0.0010467888293214,0.365950553522686,0.0456748099081167,0.00128622043892764,0.00103863916252187,0.0117191550939483
"Pooled site FE: shared slopes","low",10,"2",4,10,575.1,0.0490286662402335,0.0553961588343812,0.045322474108336,0.000817215591503413,0.320214707635454,0.0305744320160763,0.000945231347321147,0.00224396436402952,0.0164960632208809
"Pooled site FE: shared slopes","low",10,"2",5,10,502.2,0.038552900864406,0.0469735676750666,0.0391025211975246,0.000680947245122147,0.293822319771721,0.0390456233284095,0.00466659708189321,0.00152229784523239,0.014336100386772
"Pooled site FE: shared slopes","low",10,"2",6,10,447.1,0.0367214756504154,0.0432533852209127,0.0362996281336254,0.000639497399744819,0.264275369914728,0.0432438502096444,0.00383295639931539,0.00201204446922126,0.0127898497610591
"Pooled site FE: shared slopes","low",10,"2",7,10,400.1,0.0358731732402563,0.0378997811041398,0.0328129365254176,0.000568176500279284,0.248794690116004,0.0383462603971166,0.0012600318568603,0.0010515932688865,0.0142675031117712
"Pooled site FE: shared slopes","low",10,"2",8,10,361,0.0308072872551302,0.0336835353507466,0.0291509864829416,0.000497004088709431,0.208281914773588,0.0333678109213392,0.0023027894447973,0.00249561424498859,0.0146331213124423
"Pooled site FE: shared slopes","low",10,"2",9,10,328.9,0.025476376133079,0.0288325049500883,0.0247755544016711,0.00049185145805989,0.19972978357202,0.126662307341624,0.00177636669236948,0.00156536027073524,0.00923022171165731
