"model","heterogeneity","tau","site","strategy","interval","replicates","mean_risk_n","mean_weight","mean_q95","mean_q99","median_max","max_across_reps","mean_ess","mean_ess_fraction","p10_ess_fraction","mean_design_effect","mean_prop_weight_gt_10"
"Federated: site-specific slopes","high",15,"4","Initiate by tau",6,10,492.8,0.953780576575477,2.61403403223831,6.19583472719256,14.3932112487651,29.3155241433764,190.181249473508,0.385837362628695,0.252313371311058,2.7444554537475,0.00284222769749777
"Federated: site-specific slopes","high",15,"4","Initiate by tau",7,10,429.9,0.960366141628223,2.74969450949119,6.45630229725537,15.0554527631973,29.3155241433764,160.539020723115,0.373582481794986,0.246697090877504,2.84090956866151,0.00300531447283363
"Federated: site-specific slopes","high",15,"4","Initiate by tau",8,10,381.7,0.961976900480851,2.77878332666967,6.64513963437625,14.3932112487651,29.3155241433764,142.046581836711,0.372861656164915,0.239245899546316,2.88772908063843,0.00308390966660114
"Federated: site-specific slopes","high",15,"4","Initiate by tau",9,10,344.8,0.965040938496287,2.82225827339678,7.19539999590201,14.3932112487651,29.3155241433764,123.298721579614,0.357763292247904,0.227138460573449,3.01586254696038,0.00368910146818209
"Federated: site-specific slopes","high",15,"4","Initiate by tau",10,10,308.8,0.974056340384484,2.95239812380737,7.22663121598469,15.2631195352336,29.3155241433764,105.509921969567,0.342010279266735,0.225993995867732,3.14830052435558,0.0038212476351494
"Federated: site-specific slopes","high",15,"4","Initiate by tau",11,10,281.2,0.981894545920767,3.01522278643839,8.02495978191923,15.2631195352336,29.3155241433764,91.4866236090323,0.325418297126098,0.214886581823232,3.33107373841342,0.00452055238185638
"Federated: site-specific slopes","high",15,"4","Initiate by tau",12,10,259.8,0.9858148648849,3.15122954608672,7.98573927033916,14.3932112487651,29.3155241433764,83.486231751704,0.320333589074659,0.205371678089291,3.36755069380112,0.00496846674932692
"Federated: site-specific slopes","high",15,"4","Initiate by tau",13,10,237.5,0.997483249937556,3.29365827335854,8.49430743953412,15.242532134811,29.3155241433764,73.3057445781631,0.306268114627548,0.19131583089767,3.55218790872951,0.00547419133603282
"Federated: site-specific slopes","high",15,"4","Initiate by tau",14,10,221.6,0.995499520558455,3.24253053721845,8.5806491967321,16.8383790726801,29.3155241433764,64.141326820387,0.285912485627999,0.180439418601083,3.89380134127435,0.00633191333063038
"Federated: site-specific slopes","high",15,"4","Initiate by tau",15,10,135.4,1.05716261870839,3.88681312467465,10.1337008932049,14.3932112487651,29.3155241433764,39.3726687851491,0.290706229586835,0.152836578425972,3.87727336186198,0.00650606676018839
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",1,10,1006.6,1.45460666473874,3.28761402098313,8.12112544564189,22.4968094921923,50.084013614602,483.564150964241,0.480243325677018,0.37285469693703,2.12851551189217,0.00624936113576364
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",2,10,513.5,1.5674974049988,4.09460646799951,10.9089342280843,26.5582203543137,116.783221925401,163.966235347287,0.31652159218409,0.100749283614506,4.19410083600332,0.0116111817570076
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",3,10,313.4,1.52771106927301,4.07756858042198,12.0557758568844,27.6513705640487,79.2320275119417,104.732614575158,0.335113453116539,0.136031550476017,3.81558243908377,0.0130612800901078
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",4,10,215.9,1.40033106185819,3.71919166152912,11.9096504187455,19.2771839406191,44.8686742122978,78.2207102895466,0.365391059528315,0.163768723084513,3.25195088403785,0.0081947141412156
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",5,10,160.2,1.36332504060864,3.60164556457915,11.6583242282478,15.9215438828978,32.1569782738593,58.7822424428226,0.362634553154304,0.223292605934521,3.03978580920905,0.0127753314176862
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",6,10,126.7,1.33531861468456,3.85898027453687,12.8494055347397,16.1910722885783,32.0563069809191,44.5008384330913,0.348371896878293,0.230139421041699,3.11752249142186,0.0110633133634118
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",7,10,101.6,1.40771098555771,3.96005322373667,17.3541487793444,18.4903888910243,40.8801095813391,29.4575019392639,0.288266961142859,0.133912459256973,4.18133327732302,0.0137719679908269
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",8,10,82.9,1.28689258844132,3.23376256583575,14.5819505840988,7.83001864390198,48.1611430120419,37.1193200414142,0.445216905609247,0.119734367427222,3.49613805419744,0.00736974817434588
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",9,10,70.1,1.46537476147536,3.92033509937303,20.363760337178,9.12678933102353,62.9032412659043,30.7355289667009,0.429590823136916,0.0737967775211656,4.8173898297387,0.0120552022178735
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",10,10,60.3,1.43436977733076,4.14653586481643,21.7856722831493,9.81880017032636,91.6195201360412,24.7715064977487,0.404307718452978,0.0741408108897078,5.06191214213318,0.0116938544176117
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",11,10,51.6,1.31637769858945,4.33458084473966,12.0687867659556,6.87018796997113,51.308300990733,23.3041660681004,0.45017928877215,0.175389020613585,2.99364249333053,0.0120729029424682
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",12,10,43.7,1.28126387119112,3.62464615308125,11.8465768032206,7.69883592063915,46.9129839319786,19.801646523424,0.446526329118588,0.150675877869281,3.0818141247857,0.00740430622009569
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",13,10,39.2,1.41805240004123,4.04002628960873,14.4069722295623,7.18712856872471,68.1058098019478,16.5242039821773,0.415099484282991,0.130212199608477,3.4108031539473,0.00834658187599364
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",14,10,34.9,1.51920257721537,4.5678871193507,15.5203891923045,6.86231628830368,93.3585170433955,15.7076781424053,0.450215847121626,0.159624542542876,3.34727838941065,0.00876887917329094
"Federated: site-specific slopes","high",15,"5","Do not initiate by tau",15,10,31,1.24349336417671,3.79560080765794,6.97320420499034,5.63330172095878,14.9820734956108,15.0915455291259,0.487965063768756,0.276911745886378,2.24427568919448,0.0032258064516129
"Federated: site-specific slopes","high",15,"5","Initiate by tau",1,10,2000,1.00485571806413,2.47767744479491,5.7242353831759,22.4968094921923,50.084013614602,800.229602622292,0.400114801311146,0.319859986034362,2.54704232002195,0.0033
"Federated: site-specific slopes","high",15,"5","Initiate by tau",2,10,1539,0.920869800723874,2.41648018856829,6.09163297114362,26.5582203543137,116.783221925401,419.571269872733,0.27251657932167,0.0922151360813197,4.73078422426136,0.004155438690933
"Federated: site-specific slopes","high",15,"5","Initiate by tau",3,10,1140.2,0.883331619096568,2.27469755351218,6.14807042393171,27.6513705640487,79.2320275119417,330.977873291602,0.2910531139899,0.130707271851057,4.14450654342222,0.00402082539351734
"Federated: site-specific slopes","high",15,"5","Initiate by tau",4,10,869.6,0.858196636756634,2.22513307628657,5.4967488591462,19.2771839406191,44.8686742122978,290.322731372292,0.334433238720776,0.17849332582277,3.35432093384356,0.00263402360698676
"Federated: site-specific slopes","high",15,"5","Initiate by tau",5,10,683.9,0.861370987601677,2.29930066280906,5.85429819881789,18.2904369714362,32.1569782738593,235.032859525091,0.343884690802096,0.234101446762166,3.06880395319606,0.00366297168320753
"Federated: site-specific slopes","high",15,"5","Initiate by tau",6,10,556.7,0.872105907242626,2.35094969579188,5.96179922750563,16.1910722885783,32.0563069809191,191.016528230438,0.343630556885376,0.254907225604517,3.06752632834502,0.0034227932262806
