"model","heterogeneity","replicate","tau","site","strategy","interval","risk_n","weight_sum","weight_mean","weight_sd","weight_cv","weight_min","weight_q01","weight_q05","weight_q50","weight_q95","weight_q99","weight_max","prop_weight_gt_5","prop_weight_gt_10","prop_weight_gt_20","ess","ess_fraction","design_effect"
"Federated: site-specific slopes","low",1,5,"3","Do not initiate by tau",2,738,730.838704409383,0.990296347438188,0.23580298207338,0.238113553264517,0.844184868523621,0.846395240658782,0.851156893773198,0.918127006218911,1.38067449936686,1.91611720948066,3.82523465094227,0,0,0,698.452741376124,0.946412928693935,1.05662123760293
"Federated: site-specific slopes","low",1,5,"3","Do not initiate by tau",3,622,591.343451909867,0.950712945192711,0.339749653174677,0.357363024131126,0.784572610894058,0.78700598266615,0.791488628029532,0.865032611962311,1.34589699609154,2.04593527236855,6.01598597962095,0.00321543408360129,0,0,551.661497392034,0.886915590662434,1.12750301215599
"Federated: site-specific slopes","low",1,5,"3","Do not initiate by tau",4,510,471.521633227796,0.924552222015286,0.258013844353467,0.279068978700915,0.74768769962685,0.749955555639249,0.75441365961996,0.841492882414632,1.38032888711713,1.8658450320594,4.09934805530096,0,0,0,473.218263423578,0.927878947889369,1.07772678998126
"Federated: site-specific slopes","low",1,5,"3","Do not initiate by tau",5,445,396.503513866152,0.891019132283488,0.243874384427947,0.273702747328164,0.71170442107211,0.71416181151369,0.719450416923541,0.805621998649865,1.33090127147474,1.90347777645222,2.75907414858276,0,0,0,414.051763215666,0.930453400484642,1.07474484963904
"Federated: site-specific slopes","low",1,5,"4","Initiate by tau",1,1050,1029.04176124098,0.980039772610457,0.356008112698888,0.363258841782121,0.100682490228285,0.149666875492572,0.301957216275575,0.958034146053415,1.36402424649652,2.38658229665727,4.63707742968467,0,0,0,927.70008049221,0.883523886183057,1.13183131281276
"Federated: site-specific slopes","low",1,5,"4","Initiate by tau",2,933,894.859248394695,0.959120309104709,0.695296608182897,0.724931587395873,0.100682490228285,0.14956882478754,0.268575116529169,0.899452225013044,1.48008786245655,3.22064294146889,16.9190260251448,0.00107181136120043,0.00107181136120043,0,611.818306601298,0.655753812005679,1.52496254187439
"Federated: site-specific slopes","low",1,5,"4","Initiate by tau",3,807,788.653288909444,0.977265537682087,1.06336344296313,1.08810083028738,0.100682490228285,0.170556197819826,0.25961305830344,0.853342604072494,1.67825910976238,4.1922305379137,16.9190260251448,0.00495662949194548,0.00371747211895911,0,369.760077048616,0.4581909257108,2.18249629987473
"Federated: site-specific slopes","low",1,5,"4","Initiate by tau",4,703,672.455820921386,0.956551665606523,0.864320358741082,0.903579377694189,0.100682490228285,0.177746435623315,0.301754531296696,0.819073912635974,1.74620732177684,4.40820707331445,16.9190260251448,0.0042674253200569,0.00142247510668563,0,387.265028315715,0.550874862469011,1.81529430389693
"Federated: site-specific slopes","low",1,5,"4","Initiate by tau",5,178,178.718067405437,1.0040340865474,1.57179748412706,1.56548219347018,0.0741026322985321,0.119886764253851,0.212552171786032,0.522440696633967,3.15208583657148,6.74518984542188,16.9190260251448,0.0112359550561798,0.00561797752808989,0,51.7898585783084,0.29095426167589,3.43696632673474
"Federated: site-specific slopes","low",1,5,"4","Do not initiate by tau",1,934,960.529766234716,1.02840446063674,0.229812915633694,0.223465498672968,0.915514443862769,0.916866097219578,0.921207516273219,0.963686570376989,1.35272032952179,2.11667629183934,4.50468790564955,0,0,0,889.622630888739,0.952486756840191,1.04988336354138
"Federated: site-specific slopes","low",1,5,"4","Do not initiate by tau",2,761,766.111142246414,1.00671634986388,0.333974564855413,0.331746439700289,0.844293483510602,0.84633198401472,0.852266205116708,0.916362600738199,1.41663573761095,2.29977344352355,4.75971674356863,0,0,0,685.640510695762,0.900973075815719,1.10991108041117
"Federated: site-specific slopes","low",1,5,"4","Do not initiate by tau",3,612,630.631636304112,1.03044385017012,0.918705122768518,0.89156252678576,0.784393645162895,0.787322128263042,0.796068627789108,0.870682508787952,1.52260015032468,2.72134599990955,16.649428424693,0.00490196078431373,0.00326797385620915,0,341.216073322428,0.557542603468019,1.79358490952945
"Federated: site-specific slopes","low",1,5,"4","Do not initiate by tau",4,520,495.351308177379,0.952598669571882,0.393667911334135,0.413256835127701,0.747002908530861,0.749523155730777,0.758392178791217,0.834035256647411,1.48711986387885,3.23059878394262,5.06757124696242,0.00192307692307692,0,0,444.272512359598,0.85437021607615,1.17045278637249
"Federated: site-specific slopes","low",1,5,"4","Do not initiate by tau",5,450,415.278987179938,0.922842193733196,0.359588251395715,0.389653023927161,0.711016145333067,0.713635469787377,0.723277950582517,0.808089328255315,1.62072748123717,2.54513705669567,4.76540643972133,0,0,0,390.797303544344,0.868438452320764,1.15149208021324
"Federated: site-specific slopes","low",1,5,"5","Initiate by tau",1,1100,1086.62618768425,0.987841988803863,0.393279800997048,0.398120150241087,0.101216178771514,0.153405675270427,0.348539113093053,0.958028941895441,1.34070063540814,2.35154060854198,6.54117122941134,0.00272727272727273,0,0,949.6220631423,0.863292784674818,1.15835556343341
"Federated: site-specific slopes","low",1,5,"5","Initiate by tau",2,976,967.137428182209,0.990919496088329,0.754041899492224,0.760951724604084,0.111310706818766,0.145969489847014,0.224977055000923,0.914304780517795,1.69239338554157,4.52480323715182,12.1096163502523,0.00819672131147541,0.00102459016393443,0,618.326445446704,0.63353119410523,1.57845424077713
"Federated: site-specific slopes","low",1,5,"5","Initiate by tau",3,829,824.061092367085,0.994042330961502,0.899516690160929,0.904907831531539,0.111310706818766,0.166228848354711,0.236103727334342,0.865307287633686,1.89374196023772,5.19041400334916,14.5922878515373,0.00965018094089264,0.00120627261761158,0,456.028104138876,0.550094214884048,1.81787041736257
"Federated: site-specific slopes","low",1,5,"5","Initiate by tau",4,719,702.107914292686,0.976506139489132,0.884706663389674,0.905991910969978,0.111310706818766,0.16492670781996,0.235781890136261,0.824216028753845,2.14203489389605,5.98669279109871,8.29804605569305,0.0152990264255911,0,0,395.124476645388,0.549547255417786,1.81967972752364
"Federated: site-specific slopes","low",1,5,"5","Initiate by tau",5,211,194.835211791518,0.923389629343687,1.34211142715501,1.4534616639662,0.126431516438549,0.13847762820548,0.203362949012583,0.467123535745091,3.02999219221799,8.0242794783708,8.29804605569305,0.033175355450237,0,0,68.0088208650723,0.322316686564324,3.10253871947903
"Federated: site-specific slopes","low",1,5,"5","Do not initiate by tau",1,982,1003.9602236958,1.02236275325438,0.183273601121564,0.17926474779932,0.915283874874443,0.916866274513408,0.920126111357261,0.963781479598185,1.30801218019932,1.87139234730788,2.83996456461968,0,0,0,951.455311299275,0.968895429021665,1.03210312490559
"Federated: site-specific slopes","low",1,5,"5","Do not initiate by tau",2,772,807.478524562009,1.04595663803369,0.514254636223119,0.491659613337198,0.844473435371775,0.847740339433147,0.853568541173957,0.933143762137469,1.57096491735026,2.38755258775016,12.1096163502523,0.00259067357512953,0.00129533678756477,0,621.870481762604,0.805531712127725,1.24141605469338
"Federated: site-specific slopes","low",1,5,"5","Do not initiate by tau",3,602,633.246856150623,1.05190507666216,0.689976564793738,0.65593044477276,0.785010583076717,0.789488329984807,0.796489557626246,0.893977677285962,1.85294673936331,3.2783607816917,14.5922878515373,0.00166112956810631,0.00166112956810631,0,421.117413676158,0.699530587501923,1.42953005610673
"Federated: site-specific slopes","low",1,5,"5","Do not initiate by tau",4,486,498.359671419737,1.02543142267436,0.562887436359979,0.548927430848522,0.74772931937552,0.752364089365179,0.760227088274734,0.863518957810583,1.90962775691525,3.25145248486349,6.32883978620426,0.00617283950617284,0,0,373.644580753802,0.768816009781486,1.30070132161298
"Federated: site-specific slopes","low",1,5,"5","Do not initiate by tau",5,419,411.565348328399,0.982256201261095,0.48780666728296,0.496618567189168,0.711839563515944,0.716746417876934,0.72546533425715,0.839279778797799,1.78119612383616,3.31758644340456,5.20985927763664,0.00477326968973747,0,0,336.264914527223,0.802541562117477,1.24604138552218
"Federated: site-specific slopes","moderate",1,5,"1","Initiate by tau",1,600,603.163569924143,1.00527261654024,1.40994149697906,1.40254640759194,0.858355718791515,0.858813579606864,0.859301060300508,0.864517120156576,0.902021753010336,5.75780264601324,21.3206536852983,0.01,0.005,0.00333333333333333,202.438857523501,0.337398095872502,2.96385786473996
"Federated: site-specific slopes","moderate",1,5,"1","Initiate by tau",2,560,556.724677232363,0.994151209343506,1.57567496361957,1.58494497498029,0.257043018893325,0.750886573699707,0.775096414464766,0.789211973103498,0.931512292322428,8.27560370623177,21.3206536852983,0.0160714285714286,0.00714285714285714,0.00357142857142857,159.654927809245,0.285098085373651,3.50756476911935
"Federated: site-specific slopes","moderate",1,5,"1","Initiate by tau",3,518,522.248090196502,1.00820094632529,1.87666782392378,1.86140256142774,0.33826136060811,0.704459668068728,0.71447976546331,0.7309589093405,0.910277668626025,10.1628807581636,21.3206536852983,0.0212355212355212,0.00965250965250965,0.00579150579150579,116.192198051254,0.224309262647208,4.45813065496449
"Federated: site-specific slopes","moderate",1,5,"1","Initiate by tau",4,486,489.272663528627,1.00673387557331,1.94447288941967,1.93146663343611,0.33826136060811,0.670415446067693,0.67258775067841,0.694105023906616,1.02775470966393,10.9213196476879,21.3206536852983,0.0226337448559671,0.0102880658436214,0.00617283950617284,102.90315418319,0.211734885150598,4.72288729978881
