"method","estimand","tau","beta_trt","practice_heterogeneity","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Pooled CCW (site-stratified)","RD",10,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0438078619036431,-0.0454307335797954,0.0251659276625228,0.00162287167615235,0.025240063604229,0.91,100
"Pooled CCW (site-stratified)","RD",15,-0.5,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.0348345326008012,-0.0392434111994597,0.0172515193002856,0.0044088785986585,0.016762654127687,0.96,100
"Pooled CCW (site-stratified)","RD",5,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.126378683836135,-0.121345311474259,0.034052518334104,-0.00503337236187693,0.0338481333141088,0.93,100
"Pooled CCW (site-stratified)","RD",10,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0908638963726669,-0.0952227348391839,0.0227621333541031,0.00435883846651696,0.02245343648875,0.91,100
"Pooled CCW (site-stratified)","RD",15,-1,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0841283957578774,-0.0806842520182238,0.0194828788191744,-0.0034441437396536,0.0192726435361618,0.95,100
"Pooled CCW (site-stratified)","RD",5,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0838926091533075,-0.0831065002228764,0.0376798639553147,-0.000786108930431171,0.0378614457086895,0.89,100
"Pooled CCW (site-stratified)","RD",10,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0623379625519548,-0.0657536439267112,0.0196837035193406,0.0034156813747564,0.0194827378912937,0.97,100
"Pooled CCW (site-stratified)","RD",15,-0.7,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0507197804440173,-0.0558643664400532,0.0192605098773116,0.00514458599603595,0.0186542295056078,0.93,100
"Pooled CCW (site-stratified)","RD",5,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0566374834098403,-0.0565574615448907,0.0340032420512839,-8.00218649496064e-05,0.0341744494683378,0.92,100
"Pooled CCW (site-stratified)","RD",10,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0435047370852348,-0.0453202891991162,0.0298612178556494,0.00181555211388142,0.029956131264698,0.92,100
"Pooled CCW (site-stratified)","RD",15,-0.5,"moderate",25,"1000/1000/1000","-3.75/-3/-2.25",-0.0390728547376536,-0.0387935474535699,0.0213030251345774,-0.00027930728408369,0.021408505515556,0.91,100
"Federated landmark IPW","RD",5,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.231526419662417,-0.123159625116445,0.133149738461626,-0.108366794545972,0.0777557084346362,NA,100
"Federated landmark IPW","RD",10,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.217113747119344,-0.0986919287439432,0.128673596347374,-0.118421818375401,0.050584136628145,NA,100
"Federated landmark IPW","RD",15,-1,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.170768350412574,-0.0835435065798975,0.0999603584216342,-0.0872248438326763,0.049071169446584,NA,100
"Federated landmark IPW","RD",5,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.169005593625965,-0.0815749078524334,0.117895766054893,-0.087430685773532,0.0794888140204886,NA,100
"Federated landmark IPW","RD",10,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.16554427971774,-0.0663645447568586,0.121658896419672,-0.0991797349608811,0.0708125085333781,NA,100
"Federated landmark IPW","RD",15,-0.7,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.123361706620869,-0.0600422575138446,0.0907117226211377,-0.0633194491070242,0.0652830974588013,NA,100
"Federated landmark IPW","RD",5,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.129781821739089,-0.0571082601327674,0.0989507348373608,-0.0726735616063212,0.0674933694334543,NA,100
"Federated landmark IPW","RD",10,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.115116273937175,-0.0470425446288822,0.100690673715576,-0.0680737293082927,0.0745666209571523,NA,100
"Federated landmark IPW","RD",15,-0.5,"high",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0881483417120053,-0.0410403155613643,0.0685575010830359,-0.047108026150641,0.0500602145192984,NA,100
"Federated landmark IPW","RD",5,-1,"low",25,"1000/1000/1000","-3.25/-3/-2.75",-0.246884223830456,-0.122180783568385,0.13477931727344,-0.124703440262072,0.0513899368317795,NA,100
